method,metric,AUC_10_to_40pct,normalized_AUC
GCN,CVaR90,0.030988174812578956,0.10329391604192983
GCN,CommonRisk,1.247272813474691,4.157576044915636
GCN,LoadRisk,0.6151296139246543,2.050432046415514
Stable-Tail-GNN,CVaR90,0.02826076996632991,0.09420256655443301
Stable-Tail-GNN,CommonRisk,1.1744764678427058,3.9149215594756854
Stable-Tail-GNN,LoadRisk,0.5718179099093921,1.9060596996979733
TEG-low,CVaR90,0.03038806315478456,0.10129354384928185
TEG-low,CommonRisk,1.2326762436995076,4.108920812331691
TEG-low,LoadRisk,0.6105753471336404,2.035251157112134
