set,seeds,seed_count,customer_count,high_risk_customer_ratio_mean,high_risk_customer_ratio_std,high_risk_customer_ratio_display,high_exposure_customer_ratio_mean,high_exposure_customer_ratio_std,high_exposure_customer_ratio_display,mean_customer_risk_S_norm_mean,mean_customer_risk_S_norm_std,mean_customer_risk_S_norm_display,risk_p90_S_norm_mean,risk_p90_S_norm_std,risk_p90_S_norm_display,risk_p95_S_norm_mean,risk_p95_S_norm_std,risk_p95_S_norm_display,mean_customer_exposure_norm_mean,mean_customer_exposure_norm_std,mean_customer_exposure_norm_display,Q1_count_display,Q2_count_display,Q3_count_display,Q4_count_display,Q5_count_display,Q1_Q5_distribution
A,"0,1,2,3,4,5,6,7,8,9",10,50,0.41800000000000004,0.0332665998663324,41.8% +/- 3.3%,0.4,0.0,40.0% +/- 0.0%,0.17681438207278644,0.01903197163498279,0.176814 +/- 0.019032,0.42601699322462083,0.06419182117817676,0.426017 +/- 0.064192,0.5570656113326548,0.07402406103708259,0.557066 +/- 0.074024,0.013132673923027091,0.0,0.013133 +/- 0.000000,6.100000 +/- 1.100505,6.800000 +/- 1.549193,7.000000 +/- 1.885618,9.200000 +/- 1.751190,20.900000 +/- 1.663330,Q1:6.1 +/- 1.1 / Q2:6.8 +/- 1.5 / Q3:7.0 +/- 1.9 / Q4:9.2 +/- 1.8 / Q5:20.9 +/- 1.7
B,"0,1,2,3,4,5,6,7,8,9",10,50,0.30200000000000005,0.03457680661303985,30.2% +/- 3.5%,0.36,0.0,36.0% +/- 0.0%,0.14536615412374979,0.014147874113929131,0.145366 +/- 0.014148,0.34041005179286016,0.041266008112867354,0.340410 +/- 0.041266,0.526267543584108,0.05263106891081113,0.526268 +/- 0.052631,0.00944158470538256,0.0,0.009442 +/- 0.000000,9.500000 +/- 1.269296,5.900000 +/- 1.286684,8.300000 +/- 2.496664,11.200000 +/- 1.751190,15.100000 +/- 1.728840,Q1:9.5 +/- 1.3 / Q2:5.9 +/- 1.3 / Q3:8.3 +/- 2.5 / Q4:11.2 +/- 1.8 / Q5:15.1 +/- 1.7
