P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,102,658,403,62,22,60,14
2,0,125,603,349,81,32,122,9
3,0,106,552,447,102,39,71,3
4,0,103,550,431,79,71,59,28
5,0,125,602,356,93,37,94,13
