node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,2.643451452255249,0.2347787767648697,0.11780784279108047,0.43562081456184387,0.10085590928792953,0.22889535129070282,0.062157049775123596,0.05466299131512642,0.05036874860525131,0.044235579669475555,0.023203516378998756
1,0,1,2.5223379135131836,0.21747684478759766,0.08983234316110611,0.4255644381046295,0.16081373393535614,0.19937151670455933,0.058662183582782745,0.06575576961040497,0.03663234785199165,0.03179026022553444,0.021409733220934868
2,0,1,3.715524196624756,0.38793203234672546,0.3280453681945801,0.3219906687736511,0.09573589265346527,0.11338987201452255,0.08222347497940063,0.05861468240618706,0.11392254382371902,0.1565929353237152,0.05752990394830704
3,0,1,3.2964720726013184,0.32806745171546936,0.2511726915836334,0.40898987650871277,0.09287149459123611,0.09242667257785797,0.07620960474014282,0.0783296674489975,0.07998192310333252,0.12144540250301361,0.04974537342786789
4,0,1,2.4572696685791016,0.20818138122558594,0.11325179040431976,0.5131714940071106,0.09440258890390396,0.17848162353038788,0.06093907356262207,0.03975342586636543,0.04071933031082153,0.04725098982453346,0.025281470268964767
5,0,1,3.0368387699127197,0.29097697138786316,0.20964260399341583,0.4003738760948181,0.11999943852424622,0.1423095315694809,0.0673750787973404,0.06029946357011795,0.10390672832727432,0.07078772038221359,0.034948159009218216
6,0,1,2.2728142738342285,0.18183061480522156,0.07531297951936722,0.5353463888168335,0.10940878838300705,0.1629212498664856,0.07381517440080643,0.0431954488158226,0.026059716939926147,0.031735800206661224,0.017517462372779846
7,0,1,2.870847225189209,0.26726388931274414,0.1395314633846283,0.4053170084953308,0.09483093023300171,0.20931462943553925,0.06325676292181015,0.08774921298027039,0.05923167243599892,0.04163692891597748,0.0386628657579422
8,0,1,2.6256067752838135,0.232229545712471,0.1466195285320282,0.47930362820625305,0.16389837861061096,0.0842808410525322,0.07000607252120972,0.05589154362678528,0.06020839139819145,0.04635777324438095,0.04005337506532669
9,0,1,2.2380905151367188,0.17687007784843445,0.10120590031147003,0.6170194149017334,0.059706173837184906,0.1259593963623047,0.04935194551944733,0.04675716906785965,0.03722165524959564,0.042616814374923706,0.021367430686950684
10,0,1,2.058084726333618,0.15115496516227722,0.08266106992959976,0.6544345617294312,0.07570427656173706,0.10240218043327332,0.049838751554489136,0.034959182143211365,0.02865717001259327,0.033090051263570786,0.020913846790790558
11,0,1,2.24379825592041,0.1776854693889618,0.12368669360876083,0.6089804768562317,0.14129738509655,0.05925672501325607,0.0441889725625515,0.022589750587940216,0.027436036616563797,0.049873460084199905,0.04637719690799713
12,0,1,1.3616315126419067,0.051661644130945206,0.014750933274626732,0.8238987326622009,0.06804615259170532,0.07363103330135345,0.014632544480264187,0.005040576681494713,0.007778402417898178,0.005436323117464781,0.001536207739263773
13,0,1,2.418783187866211,0.20268331468105316,0.10539974272251129,0.5015590190887451,0.11728301644325256,0.17551344633102417,0.05794602632522583,0.04229867830872536,0.048908792436122894,0.032539959996938705,0.023950990289449692
14,0,1,2.6626458168029785,0.23752082884311676,0.14388340711593628,0.49354785680770874,0.09917493164539337,0.13057288527488708,0.07711051404476166,0.05571039021015167,0.05458514764904976,0.04986162483692169,0.039436645805835724
15,0,1,2.154778242111206,0.1649683266878128,0.05966468155384064,0.555868923664093,0.0991121232509613,0.20057830214500427,0.02962769940495491,0.05514829605817795,0.029500257223844528,0.013619075529277325,0.01654534786939621
16,0,1,2.1690893173217773,0.1670127660036087,0.06371486186981201,0.49672865867614746,0.2149566113948822,0.13835188746452332,0.039666805416345596,0.04658114165067673,0.026575367897748947,0.020749131217598915,0.016390357166528702
17,0,1,1.9632658958435059,0.13760940730571747,0.06490131467580795,0.6551415324211121,0.04443085566163063,0.1829073131084442,0.029111266136169434,0.02350771799683571,0.027430593967437744,0.027792230248451233,0.00967849139124155
18,0,1,2.8018991947174072,0.25741416215896606,0.13772006332874298,0.38459688425064087,0.1922304779291153,0.1285531222820282,0.0736454501748085,0.08325399458408356,0.05878585949540138,0.04785856604576111,0.03107563592493534
19,0,1,1.2553486824035645,0.03647838160395622,0.004354724660515785,0.8643659949302673,0.06029064953327179,0.05118474364280701,0.011843996122479439,0.007959967479109764,0.0018453272059559822,0.0014758218312636018,0.0010335758561268449
20,0,1,2.662797451019287,0.23754249513149261,0.11831720918416977,0.4159959554672241,0.12639278173446655,0.2355497181415558,0.04052504152059555,0.0632193386554718,0.044062063097953796,0.049243535846471786,0.025011606514453888
21,0,1,2.880568504333496,0.26865264773368835,0.16686859726905823,0.40776556730270386,0.13480490446090698,0.18214526772499084,0.05098333954811096,0.05743231624364853,0.047435738146305084,0.0744151622056961,0.04501769319176674
22,0,1,2.3338308334350586,0.19054725766181946,0.06564514338970184,0.5052204728126526,0.08128830045461655,0.23929890990257263,0.04605723172426224,0.06248999387025833,0.023888833820819855,0.025925423949956894,0.015830889344215393
23,0,1,2.381201982498169,0.1973145753145218,0.09544982761144638,0.5521205067634583,0.08369738608598709,0.1411392092704773,0.05860289931297302,0.06899010390043259,0.03571593761444092,0.03325987234711647,0.02647402137517929
24,0,1,2.6196961402893066,0.23138515651226044,0.09184751659631729,0.42962029576301575,0.09377194941043854,0.2447461187839508,0.0647539347410202,0.07526017725467682,0.03374131768941879,0.0343206562101841,0.023785538971424103
