experiment_tag,model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std
gcn_stabilized_lowtail_s0_4,gcn,A,data_2020_train,5,0.7182001774671944,0.02464486084678512,0.8367639935299327,0.01316607317865624,0.6316184243842646,0.020680223025956408,0.7626263088634154,0.03499613613076381,0.8,0.0735597048451057,0.9272582972582972,0.03141512976583525,0.966874194834492,0.010453043580517418,0.2,0.07355970484510567
gcn_stabilized_lowtail_s0_4,gcn,A,data_2020_val,5,0.226372717833737,0.02176467313209696,0.5907549084584302,0.029607251276028566,1.3769000565945841,0.11810846647999956,0.1815249146816363,0.17412228268740595,0.2,0.12171612389003691,0.3571428571428571,0.22015764296317772,0.34152815467481584,0.12412983316839445,0.8,0.12171612389003691
gcn_stabilized_lowtail_s0_4,gcn,A,data_2021_test,5,0.34302874845230313,0.021360178361058184,0.6408043627642357,0.009853805295343746,1.236892372071478,0.019635000264755908,0.26344745955012944,0.041414245309390224,0.22745098039215686,0.0429586319611895,0.5922555109000122,0.08203808861376279,0.3940283922859864,0.02327375481406081,0.7725490196078432,0.04295863196118947
gcn_stabilized_lowtail_s0_4,gcn,B,data_2020_train,5,0.5572076433911131,0.024992122743182937,0.7652396638172071,0.007075558414104659,0.8402847453576365,0.04007721849867836,0.6481269161824365,0.04150506801888182,0.645,0.06937218462755801,0.8557811941179081,0.05325647230935614,0.8736562914773947,0.028232151728988082,0.355,0.06937218462755804
gcn_stabilized_lowtail_s0_4,gcn,B,data_2021_test,5,0.3014739785754893,0.015559027815796251,0.6278181294808937,0.017373902233623766,1.267691421641331,0.034249626901237916,0.23767514303314624,0.06451172551519552,0.19230769230769232,0.08600261451922268,0.48921052631578943,0.0884245769974305,0.37052285105065613,0.054774561959776466,0.8076923076923077,0.0860026145192227
gcn_stabilized_lowtail_s0_4,gcn,B,data_2021_train,5,0.6661652113028995,0.039329814939636734,0.8136577413102686,0.015416123037246465,0.6949489196559778,0.05675275710550523,0.7364908895790061,0.03651266348395216,0.744,0.0606630035524124,0.8910847606499781,0.05061186695598052,0.9284776741951385,0.022192452420713268,0.256,0.0606630035524124
gcn_stabilized_lowtail_s0_4,gcn_teg_concat,A,data_2020_train,5,0.5056201359384386,0.03805170311272398,0.7607699849993409,0.017244568098228046,0.5475005915549684,0.053758447447066864,0.7757231130323088,0.055163364438559126,0.8838709677419354,0.0776877069599503,0.8615176979882863,0.013445913478705659,0.942100850950261,0.017581713480505603,0.11612903225806451,0.0776877069599503
gcn_stabilized_lowtail_s0_4,gcn_teg_concat,A,data_2020_val,5,0.2567868331787354,0.0292533388126187,0.6207718938369096,0.025552835513536362,1.303839849148092,0.13532154215856007,0.247393870730959,0.14154113181640632,0.2444444444444444,0.14487116456005886,0.5809523809523809,0.3183717076275577,0.3446984845661333,0.11511072045780216,0.7555555555555555,0.14487116456005883
gcn_stabilized_lowtail_s0_4,gcn_teg_concat,A,data_2021_test,5,0.3067458657281835,0.03266777572060189,0.6276828378454725,0.008186730651288242,1.1825737212243825,0.015484420603826377,0.32548750048463126,0.06417836366213042,0.29411764705882354,0.05716619504750295,0.5483996415770609,0.042663255919587965,0.3882238205917968,0.034150649991628666,0.7058823529411764,0.05716619504750294
gcn_stabilized_lowtail_s0_4,gcn_teg_concat,B,data_2020_train,5,0.4583826940208692,0.0531596339180693,0.7286302900960251,0.01819846264686767,0.7206025560007525,0.06964579734987877,0.7125377622242344,0.03362686789009928,0.77,0.041079191812887494,0.7537688789398775,0.07861006592710992,0.8652672043670699,0.05131166505990694,0.23000000000000004,0.04107919181288747
