model,split,seed,epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
mlp,A,0,20,data_2020_train,0.6014915123246896,0.7213460133954136,2.014644918777234,0.6646056625983521,0.8387096774193549,0.6842105263157895,0.7456494978919483,0.16129032258064516
mlp,A,0,20,data_2020_val,0.19536463536463536,0.48023119737405445,2.415558788186537,-0.07062600321027279,0.1111111111111111,0.1,0.2859539955784087,0.8888888888888888
mlp,A,0,20,data_2021_test,0.2909107679899151,0.5338801866365949,2.37719662523099,0.3035185047174732,0.43137254901960786,0.36065573770491804,0.30699343499957843,0.5686274509803921
mlp,B,0,20,data_2020_train,0.34895906786426356,0.6367181588815948,2.0915001643109976,0.4470928989496753,0.475,0.5277777777777778,0.6046024488310905,0.525
mlp,B,0,20,data_2021_train,0.5134559417460642,0.6793601120620039,2.0377110389807194,0.4888018721848756,0.52,0.6190476190476191,0.7275067339163817,0.48
mlp,B,0,20,data_2021_test,0.2586145425568054,0.5472855976756237,2.2953951097162686,0.31351676439633136,0.38461538461538464,0.4,0.395684361786557,0.6153846153846154
mlp,C,0,20,data_2021_train,0.6528590550911979,0.7737143255404405,2.0394601292384538,0.6803161379352721,0.76,0.7916666666666666,0.8387256444781495,0.24
mlp,C,0,20,data_2021_test,0.1932632731545775,0.4972960622196814,2.565109531736579,0.05977788995456845,0.19230769230769232,0.20833333333333334,0.15464337577831294,0.8076923076923077
gcn,A,0,20,data_2020_train,0.4192342343395259,0.7066893768441107,1.3291075241190196,0.4224356116983099,0.41935483870967744,0.6190476190476191,0.5811219782449891,0.5806451612903226
gcn,A,0,20,data_2020_val,0.19840254942556734,0.5593677084360313,1.6132671731783013,0.22043165467625903,0.2222222222222222,0.5,0.31958490451743826,0.7777777777777778
gcn,A,0,20,data_2021_test,0.29753562618462015,0.6044463304928628,1.5600750345800305,0.24041361071512246,0.21568627450980393,0.44,0.3219962621503602,0.7843137254901961
gcn,B,0,20,data_2020_train,0.3111325954168037,0.653143457073183,1.4477407276168333,0.362979855568225,0.325,0.52,0.555164522834527,0.675
gcn,B,0,20,data_2021_train,0.44365835777126095,0.6773582205271009,1.3164889506053463,0.37739085684878626,0.32,0.8,0.7132067859493002,0.68
