model,split,seed,epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
gcn,A,0,50,data_2020_train,0.762384260532821,0.8438909254784901,0.658455574818702,0.7941102321429788,0.9032258064516129,0.9333333333333333,0.9832768813282291,0.0967741935483871
gcn,A,0,50,data_2020_val,0.24032552414905356,0.6055589912732771,1.3102149502559888,0.18735632183908046,0.2222222222222222,0.5,0.37003685173821804,0.7777777777777778
gcn,A,0,50,data_2021_test,0.3456709173620938,0.6487701442886677,1.2357389424706182,0.2804135354817143,0.2549019607843137,0.5909090909090909,0.38205337968672526,0.7450980392156863
gcn,A,1,50,data_2020_train,0.7517362806366565,0.8371757461107703,0.6532456360689868,0.7913469024580135,0.8064516129032258,0.9615384615384616,0.9832144021166846,0.1935483870967742
gcn,A,1,50,data_2020_val,0.25923216276477146,0.5980815681902639,1.2963496449856482,0.3542941032542206,0.4444444444444444,0.5,0.47117824429652383,0.5555555555555556
gcn,A,1,50,data_2021_test,0.3761999435401691,0.6515226435846271,1.2608537902360573,0.3391957711314836,0.29411764705882354,0.6521739130434783,0.41226995069583217,0.7058823529411765
gcn,A,2,50,data_2020_train,0.7736421704094119,0.8504482985800536,0.6737265712699445,0.8349699206909986,0.9354838709677419,0.90625,0.9824729662463791,0.06451612903225806
gcn,A,2,50,data_2020_val,0.19447314049586778,0.5544323101141283,1.4069993295146899,0.1964636542239686,0.2222222222222222,0.5,0.44527886970415703,0.7777777777777778
gcn,A,2,50,data_2021_test,0.3391087867507746,0.6407470820746523,1.3029154827270961,0.26452095832327005,0.23529411764705882,0.5217391304347826,0.40897577784350875,0.7647058823529411
gcn,A,3,50,data_2020_train,0.7599919906288314,0.8523922393404547,0.661620294646173,0.795669272619832,0.8709677419354839,0.9,0.9705879852035602,0.12903225806451613
gcn,A,3,50,data_2020_val,0.26175213675213677,0.6217948717948717,1.4401305344215944,0.20342396777442084,0.2222222222222222,0.2857142857142857,0.3038045288045288,0.7777777777777778
gcn,A,3,50,data_2021_test,0.39890651175094227,0.6644917433921625,1.2553311188105662,0.34043595316098485,0.29411764705882354,0.7142857142857143,0.40120394032641044,0.7058823529411765
gcn,A,4,50,data_2020_train,0.7909903210394094,0.8666176829736311,0.6111349513110164,0.8649119938967904,0.9354838709677419,1.0,0.9894131438764363,0.06451612903225806
gcn,A,4,50,data_2020_val,0.19468390804597702,0.5523535851122058,1.576070304098976,-0.059334731795025686,0.0,0.0,0.1509810801053924,1.0
gcn,A,4,50,data_2021_test,0.3452425159510216,0.6240704548259416,1.2859989821029314,0.2327506369122363,0.19607843137254902,0.5263157894736842,0.3660992912238706,0.803921568627451
gcn,B,0,50,data_2020_train,0.5933148873437775,0.7699049004004412,0.9202264927131442,0.6922457336188528,0.725,0.8787878787878788,0.9231998551813655,0.275
gcn,B,0,50,data_2021_train,0.6686640389898677,0.8237588151176946,0.7527794932241093,0.7621852451774407,0.76,0.95,0.9678089782415131,0.24
gcn,B,0,50,data_2021_test,0.32522328200639194,0.6380151788705197,1.2612297801653305,0.24664836152449188,0.19230769230769232,0.4166666666666667,0.3950146951572715,0.8076923076923077
gcn,B,1,50,data_2020_train,0.5731947890163813,0.7584174082201903,0.8323656235158322,0.6970509109397076,0.725,0.8055555555555556,0.8973641289774262,0.275
gcn,B,1,50,data_2021_train,0.700706909413771,0.8217069333020725,0.6850413898876968,0.7974948509940734,0.8,0.9523809523809523,0.9546171230820844,0.2
gcn,B,1,50,data_2021_test,0.2939055887478217,0.6257980160892782,1.3346855578085866,0.29224519940915805,0.2692307692307692,0.5833333333333334,0.3459286935161099,0.7307692307692307
gcn,B,2,50,data_2020_train,0.6147622473687382,0.7724505109566614,0.8944659227403701,0.6693589233924138,0.75,0.7894736842105263,0.8732892796500272,0.25
gcn,B,2,50,data_2021_train,0.7621351172047767,0.8238194634843697,0.7057071555735674,0.7968950204716607,0.88,0.88,0.9446946688949457,0.12
gcn,B,2,50,data_2021_test,0.3107095644847323,0.6547971422132496,1.2808145077105317,0.3267109413351238,0.3076923076923077,0.42105263157894735,0.3923904744797102,0.6923076923076923
gcn,B,3,50,data_2020_train,0.6002090338163114,0.7828069012487997,0.8232514224095194,0.7200264779901706,0.725,0.90625,0.932021131013749,0.275
gcn,B,3,50,data_2021_train,0.7151419030530872,0.830303726201559,0.631319777430197,0.8007911396539156,0.84,0.84,0.9616657476334898,0.16
gcn,B,3,50,data_2021_test,0.2931903622693096,0.6291532475743,1.3363126159232162,0.16060035900430358,0.07692307692307693,0.4,0.29372337375581,0.9230769230769231
gcn,B,4,50,data_2020_train,0.5982712711242855,0.7774363018270657,0.8682279801664554,0.7018071237575856,0.725,0.90625,0.9191245913884796,0.275
gcn,B,4,50,data_2021_train,0.7159913865072921,0.839809334693838,0.7665967632979694,0.7352281100417917,0.72,0.9,0.9378713729601733,0.28
gcn,B,4,50,data_2021_test,0.31460298658995733,0.6174799699229666,1.2940304901001853,0.2151610312791753,0.19230769230769232,0.5555555555555556,0.4086654723623742,0.8076923076923077
weighted_gcn,A,0,50,data_2020_train,0.7046253266998426,0.7640045376153215,1.1053942751630075,0.7735363570819085,0.9032258064516129,0.8235294117647058,0.9428181747791706,0.0967741935483871
weighted_gcn,A,0,50,data_2020_val,0.22079124579124582,0.5524410774410775,1.8218439102268469,0.2901554404145078,0.3333333333333333,0.3333333333333333,0.2807160895599029,0.6666666666666666
weighted_gcn,A,0,50,data_2021_test,0.3445052837736149,0.5418405281579053,1.7082400630884367,0.3023984831474158,0.39215686274509803,0.38461538461538464,0.3274565969255101,0.6078431372549019
weighted_gcn,A,1,50,data_2020_train,0.7150341688131132,0.7973710318123016,1.015363110051812,0.7791547082365006,0.8709677419354839,0.8709677419354839,0.9380106191410353,0.12903225806451613
weighted_gcn,A,1,50,data_2020_val,0.2734909872231865,0.5012887842659282,1.901450414900604,0.26446626279507,0.4444444444444444,0.3333333333333333,0.24845921001093413,0.5555555555555556
weighted_gcn,A,1,50,data_2021_test,0.34914552809329674,0.584234716876137,1.6656459441711673,0.2807294159604321,0.3333333333333333,0.37777777777777777,0.32486400193048126,0.6666666666666666
weighted_gcn,A,2,50,data_2020_train,0.7364937423321971,0.807993639895675,1.023493620718653,0.7734702697206193,0.9032258064516129,0.7567567567567568,0.9484063760215614,0.0967741935483871
weighted_gcn,A,2,50,data_2020_val,0.22980559745265627,0.528094998683234,1.8389176474731277,0.2724520686175581,0.4444444444444444,0.3333333333333333,0.27308096387043757,0.5555555555555556
weighted_gcn,A,2,50,data_2021_test,0.36742977626471457,0.5919414215477444,1.6162216424640325,0.34466090217731016,0.39215686274509803,0.38461538461538464,0.4115276812872609,0.6078431372549019
weighted_gcn,A,3,50,data_2020_train,0.7188231567048122,0.827663121619818,0.9988223860405235,0.7562392289525754,0.8387096774193549,0.7428571428571429,0.9387472279262461,0.16129032258064516
weighted_gcn,A,3,50,data_2020_val,0.19642857142857142,0.506235827664399,1.9008712197482125,0.22035121481837872,0.3333333333333333,0.3333333333333333,0.3175636356994711,0.6666666666666666
weighted_gcn,A,3,50,data_2021_test,0.3874168212568131,0.6183546054207038,1.5694883895363818,0.34088403583300975,0.3333333333333333,0.4358974358974359,0.3691739614042223,0.6666666666666666
weighted_gcn,A,4,50,data_2020_train,0.6977693437514866,0.8161903767873916,1.0587801950814688,0.7928615401267767,0.8709677419354839,0.8709677419354839,0.9561132287829122,0.12903225806451613
weighted_gcn,A,4,50,data_2020_val,0.19113449068692037,0.4893134240960327,1.952279716586089,0.006854009595613331,0.2222222222222222,0.18181818181818182,0.16456536080719086,0.7777777777777778
weighted_gcn,A,4,50,data_2021_test,0.34084286042533224,0.599229036873191,1.6488814155697415,0.33865255984461273,0.37254901960784315,0.38,0.3601018932635716,0.6274509803921569
