model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std
edge_gat,A,data_2020_train,1,0.43190436993479064,0.0,0.6864652454218966,0.0,1.2251358745185466,0.0,0.40998197829525695,0.0,0.3870967741935484,0.0,0.7058823529411765,0.0,0.6608096148984257,0.0,0.6129032258064516,0.0
edge_gat,A,data_2020_val,1,0.20393162393162395,0.0,0.5716890516890517,0.0,1.5251025612254536,0.0,0.23662134798958634,0.0,0.2222222222222222,0.0,0.5,0.0,0.3083949738164884,0.0,0.7777777777777778,0.0
edge_gat,A,data_2021_test,1,0.27591854374444535,0.0,0.6000574659957142,0.0,1.4947272964673215,0.0,0.24572404306015738,0.0,0.19607843137254902,0.0,0.5,0.0,0.301817221148149,0.0,0.803921568627451,0.0
edge_gat,B,data_2020_train,1,0.343548205369124,0.0,0.6612826093069368,0.0,1.3461062039514968,0.0,0.3594751365200384,0.0,0.3,0.0,0.6666666666666666,0.0,0.5968574546668692,0.0,0.7,0.0
edge_gat,B,data_2021_test,1,0.24957626446314776,0.0,0.6143382553749226,0.0,1.5075172727627402,0.0,0.24912396859403985,0.0,0.19230769230769232,0.0,0.4166666666666667,0.0,0.3219261716980735,0.0,0.8076923076923077,0.0
edge_gat,B,data_2021_train,1,0.4408907624633431,0.0,0.6801846161428704,0.0,1.2198683226991789,0.0,0.366685681688534,0.0,0.28,0.0,0.875,0.0,0.7225305891772178,0.0,0.72,0.0
edge_gat,C,data_2021_test,1,0.23073905228602087,0.0,0.6013767179733346,0.0,1.694859404198959,0.0,0.18056164110734907,0.0,0.11538461538461539,0.0,0.375,0.0,0.19814800850435677,0.0,0.8846153846153846,0.0
edge_gat,C,data_2021_train,1,0.49403234868164936,0.0,0.7248001661493332,0.0,1.2088145870625553,0.0,0.4783623959457498,0.0,0.4,0.0,0.9090909090909091,0.0,0.853088833354597,0.0,0.6,0.0
gcn,A,data_2020_train,1,0.4192342343395259,0.0,0.7066893768441107,0.0,1.3291075241190196,0.0,0.4224356116983099,0.0,0.41935483870967744,0.0,0.6190476190476191,0.0,0.5811219782449891,0.0,0.5806451612903226,0.0
gcn,A,data_2020_val,1,0.19840254942556734,0.0,0.5593677084360313,0.0,1.6132671731783013,0.0,0.22043165467625903,0.0,0.2222222222222222,0.0,0.5,0.0,0.31958490451743826,0.0,0.7777777777777778,0.0
gcn,A,data_2021_test,1,0.29753562618462015,0.0,0.6044463304928628,0.0,1.5600750345800305,0.0,0.24041361071512246,0.0,0.21568627450980393,0.0,0.44,0.0,0.3219962621503602,0.0,0.7843137254901961,0.0
gcn,B,data_2020_train,1,0.3111325954168037,0.0,0.653143457073183,0.0,1.4477407276168333,0.0,0.362979855568225,0.0,0.325,0.0,0.52,0.0,0.555164522834527,0.0,0.675,0.0
gcn,B,data_2021_test,1,0.28865461498538164,0.0,0.6265460629928882,0.0,1.5710848974979852,0.0,0.30685408632914546,0.0,0.2692307692307692,0.0,0.5833333333333334,0.0,0.41967306271657767,0.0,0.7307692307692307,0.0
gcn,B,data_2021_train,1,0.44365835777126095,0.0,0.6773582205271009,0.0,1.3164889506053463,0.0,0.37739085684878626,0.0,0.32,0.0,0.8,0.0,0.7132067859493002,0.0,0.68,0.0
gcn,C,data_2021_test,1,0.23860029667488306,0.0,0.5984124864159373,0.0,1.720059323986872,0.0,0.20574540288848553,0.0,0.19230769230769232,0.0,0.5555555555555556,0.0,0.26836252200309907,0.0,0.8076923076923077,0.0
gcn,C,data_2021_train,1,0.5132215587199509,0.0,0.7039388201483908,0.0,1.292328556835748,0.0,0.47263411174376757,0.0,0.36,0.0,1.0,0.0,0.8473737505690442,0.0,0.64,0.0
mlp,A,data_2020_train,1,0.6014915123246896,0.0,0.7213460133954136,0.0,2.014644918777234,0.0,0.6646056625983521,0.0,0.8387096774193549,0.0,0.6842105263157895,0.0,0.7456494978919483,0.0,0.16129032258064516,0.0
mlp,A,data_2020_val,1,0.19536463536463536,0.0,0.48023119737405445,0.0,2.415558788186537,0.0,-0.07062600321027279,0.0,0.1111111111111111,0.0,0.1,0.0,0.2859539955784087,0.0,0.8888888888888888,0.0
mlp,A,data_2021_test,1,0.2909107679899151,0.0,0.5338801866365949,0.0,2.37719662523099,0.0,0.3035185047174732,0.0,0.43137254901960786,0.0,0.36065573770491804,0.0,0.30699343499957843,0.0,0.5686274509803921,0.0
