split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
data_2020_train,0.6002090338163114,0.7828069012487997,0.8232514224095194,0.7200264779901706,0.725,0.90625,0.932021131013749,0.275
data_2021_train,0.7151419030530872,0.830303726201559,0.631319777430197,0.8007911396539156,0.84,0.84,0.9616657476334898,0.16
data_2021_test,0.2931903622693096,0.6291532475743,1.3363126159232162,0.16060035900430358,0.07692307692307693,0.4,0.29372337375581,0.9230769230769231
