model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std
gcn,A,data_2020_train,1,0.08449606827771385,0.0,0.04525760152059038,0.0,2.7546899710268677,0.0,0.12566366735594925,0.0,0.25806451612903225,0.0,0.25,0.0,0.24900249527152665,0.0,0.7419354838709677,0.0
gcn,A,data_2020_val,1,0.0905899163094509,0.0,0.07191943934136218,0.0,2.803157895714754,0.0,0.1441268316118185,0.0,0.3333333333333333,0.0,0.3,0.0,0.29125020719447964,0.0,0.6666666666666666,0.0
gcn,A,data_2021_test,1,0.0970903981560418,0.0,0.08879440734247628,0.0,2.730810641888243,0.0,0.09183273484210208,0.0,0.13725490196078433,0.0,0.3181818181818182,0.0,0.1838850790369094,0.0,0.8627450980392157,0.0
mlp,A,data_2020_train,1,0.050052603439057625,0.0,0.1454859607895227,0.0,2.842061839920551,0.0,0.14600288264154782,0.0,0.6774193548387096,0.0,0.17796610169491525,0.0,0.26467326780693406,0.0,0.3225806451612903,0.0
mlp,A,data_2020_val,1,0.05192530516558433,0.0,0.10829159882001357,0.0,2.8580693450224186,0.0,0.07058078809938273,0.0,0.4444444444444444,0.0,0.17391304347826086,0.0,0.3076185203544994,0.0,0.5555555555555556,0.0
mlp,A,data_2021_test,1,0.07827356062430933,0.0,0.163803370445839,0.0,2.8349658634179002,0.0,0.10599227477217221,0.0,0.47058823529411764,0.0,0.1643835616438356,0.0,0.20325175191566358,0.0,0.5294117647058824,0.0
