P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,729,312,113,25,66,75,1
2,0,664,285,134,56,49,132,1
3,0,567,320,196,90,79,67,1
4,0,602,306,171,71,82,79,10
5,0,637,291,150,75,64,101,2
