model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
gcn,A,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.7349652798460465,0.8378517809696792,0.6448308062800876,0.7756975709794175,0.8709677419354839,0.9,0.9673742531127928,0.12903225806451613
gcn,A,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.24032552414905356,0.6055589912732771,1.3077921108757806,0.18735632183908046,0.2222222222222222,0.5,0.36146425687435313,0.7777777777777778
gcn,A,0,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.32400670075569377,0.6351254713745508,1.2170905710775193,0.2358090808556762,0.21568627450980393,0.5238095238095238,0.38182900600568503,0.7843137254901961
gcn,A,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.6751638055319868,0.8167984899290321,0.6344753181229863,0.708603051670327,0.6774193548387096,0.9545454545454546,0.9714444763826321,0.3225806451612903
gcn,A,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.23550156739811912,0.6070682191371847,1.2483580449855924,0.38035198318886254,0.3333333333333333,0.5,0.4801103912411144,0.6666666666666666
gcn,A,1,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.3553879468567004,0.6496256040420797,1.222997540345546,0.2954285978261586,0.23529411764705882,0.7058823529411765,0.4254453042452393,0.7647058823529411
gcn,A,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.732384038103964,0.8322618918859204,0.632758510021477,0.7561355586449725,0.8064516129032258,0.9259259259259259,0.9763142513260109,0.1935483870967742
gcn,A,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_val,0.22082627118644066,0.6013942695722357,1.3540081213501312,0.26753393665158376,0.2222222222222222,0.5,0.40737998385057206,0.7777777777777778
gcn,A,2,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2021_test,0.32138739839613867,0.6377474086296586,1.2643674915515606,0.2508041749845398,0.21568627450980393,0.55,0.3958665682516156,0.7843137254901961
gcn,A,3,50,gcn_stabilized_lowtail_10seed,0.3,0.5,0.1,0.2,0,data_2020_train,0.7209239370665455,0.8484690139658717,0.6492680383123525,0.7684310539505935,0.8064516129032258,0.8928571428571429,0.9490943474780656,0.1935483870967742
