P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,779,217,143,37,39,73,33
2,0,821,151,52,49,41,184,23
3,0,754,164,139,43,65,122,33
4,0,748,192,92,58,36,136,59
5,0,728,258,105,39,34,116,40
