P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,448,658,274,70,13,59,8
2,0,629,454,143,141,53,100,9
3,0,557,541,143,136,58,87,8
4,0,518,487,164,182,69,94,15
5,0,414,586,244,119,50,99,17
