Set,Model,tau,runs,Risk Reduction mean,Risk Reduction std,Global Risk mean,Global Risk std,CVaR90 mean,CVaR90 std,Max Vehicle Risk mean,Max Vehicle Risk std,Edge Gini mean,Edge Gini std,Top10 Share mean,Top10 Share std
A,UA-GNN,0.0,3,0.5937519898888902,0.017541551891242894,3.129586544843836,0.13513371981686542,0.07643751266995097,0.013018389801161852,0.991396911911638,0.03962266159228922,0.74808992463598,0.00563449777856802,0.7481057276501021,0.00920690837950496
A,UA-GNN,0.25,3,0.5917283714033524,0.008029853829572914,3.1451757638101125,0.06185906607941501,0.07812620205282393,0.0066880882137782165,1.007945878919162,0.09194539559821141,0.7491848000496809,0.00193689351598324,0.7477091777239603,0.0040681540371309485
A,UA-GNN,0.5,3,0.6022419143590109,0.013701907543552863,3.0641832622993554,0.10555449976301227,0.07468622437800419,0.007909505437897098,0.963853458059556,0.10330615239839404,0.74315025700261,0.009576403846893832,0.739855755661501,0.012733649442061632
A,UA-GNN,1.0,3,0.6249092880296079,0.01213015898990638,2.889562080457639,0.09344632199243218,0.0610335648373418,0.007670786354007663,0.9224614923693619,0.07746613189723123,0.733092778283622,0.007532632994050915,0.7244375992323109,0.010145713588732345
A,UA-TEG-GNN,0.0,3,0.5279936456164478,0.12493803620899799,3.636164852488861,0.962477076384821,0.09332700134289947,0.030290171542053063,1.3022554681015241,0.3862680528086208,0.7697970399231447,0.04399380498942563,0.7726419235874388,0.053912061638993924
A,UA-TEG-GNN,0.25,3,0.541256834507757,0.07143546799285574,3.5339900812583225,0.5503127988095717,0.09483102814085227,0.01660257936336295,1.0792778854457168,0.1571245822487827,0.7690982674537824,0.02792513912269997,0.7720109722035898,0.033275191316651374
A,UA-TEG-GNN,0.5,3,0.5637427871191156,0.07533437420554581,3.3607665011077223,0.5803485506634837,0.08673946753384364,0.02254947564510401,1.0422377543699108,0.13382531713930607,0.758727469053415,0.032054821840014736,0.7589631330533129,0.038966979227658405
A,UA-TEG-GNN,1.0,3,0.6022006127323075,0.011856550083873226,3.0645014349721897,0.09133853874289295,0.06440881182245994,0.005180439388510201,1.037029383688943,0.15426187085666504,0.7447813623522882,0.0050515379752164675,0.7410794316732341,0.0077104803385745725
B,UA-GNN,0.0,3,0.5016728986914772,0.020191850027738753,4.023611361677589,0.1630337924057638,0.09895300848415374,0.00716014274386644,1.3672321008514488,0.027368590709847852,0.7804027577848051,0.00820186921879583,0.7847285537302513,0.009828773934466264
B,UA-GNN,0.25,3,0.48644757352782103,0.010849867292501085,4.1465442528506005,0.08760440521129402,0.10437313909523506,0.0035306899838041654,1.5094799030010162,0.05346351697652725,0.7876719581756516,0.0030409656381641358,0.793399813832381,0.003061553778699283
B,UA-GNN,0.5,3,0.48101862955314,0.024494832148105387,4.1903788358003915,0.19777709194363796,0.1056267474643897,0.008804926873831036,1.4576050759465906,0.17472679763252355,0.7883022143458404,0.008318032810656765,0.7946163024622227,0.011573113705004051
B,UA-GNN,1.0,3,0.39531692925832823,0.012423362392931424,4.8823547169351444,0.10030917833523414,0.12864416304697732,0.005961152379435865,1.409144490683875,0.019404814102136528,0.815583369279473,0.0017058481573817886,0.8252448021220156,0.003664055056494921
B,UA-TEG-GNN,0.0,3,0.4708251889905061,0.08059375401545767,4.272683095702576,0.6507331098094912,0.10480472056673806,0.020362678220823622,1.5405413279042859,0.29507862315996536,0.7876463790589375,0.021852523010363,0.7943367708871651,0.02807216217717868
B,UA-TEG-GNN,0.25,3,0.4651035586567806,0.06585413791854575,4.318880897824208,0.531721948990479,0.10622799967765122,0.021555870278242767,1.450208790610595,0.06257613309068603,0.7884461316029552,0.0164592764962922,0.7964073324535246,0.02288766011825043
B,UA-TEG-GNN,0.5,3,0.48391022053748306,0.03272281875939066,4.167031443480416,0.26421180987482645,0.10399199836586444,0.010524968618643016,1.4488097132313733,0.09256825747590752,0.7860805538719992,0.010096600684986464,0.7911864453363067,0.013237700632728042
B,UA-TEG-GNN,1.0,3,0.46059548926102006,0.07470060699293175,4.35528012072897,0.6031504412096721,0.10991413412825228,0.02006533634779686,1.3467426593875684,0.11986613276496749,0.7953872199440141,0.027292335554631203,0.7990839974316973,0.03434798462163726
