P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,171,577,687,35,20,40,0
2,0,179,566,530,121,57,76,0
3,0,140,415,700,145,70,60,0
4,0,134,433,627,194,98,43,0
5,0,145,432,663,131,100,58,0
