P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,56,160,664,333,31,77,0
2,0,44,229,554,293,57,143,1
3,0,61,199,604,315,64,77,0
4,0,55,184,624,295,62,99,2
5,0,114,283,502,269,39,110,3
