risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Edge-GAT_seed0,A,1.0,0.0,10,3.0670853088749137,0.1909449073299143,0.06853084764616338,0.009696615550947215,0.9605231232784316,0.11740253019641897,0.10765895336817215,0.016649483137611717,0.227793583145397,0.07207576039903349,0.7439860590864372,0.013559004547992632,0.7402730924592863,0.016772951923114048,0.5313090438090153,0.0
A_Edge-GAT_seed1,A,1.0,0.0,10,3.223314389519557,0.16693519167589743,0.08535408544000159,0.00547676959338227,1.015740281652364,0.18146458537220841,0.13205101649983148,0.01573149458797363,0.22147198253935046,0.07578623740879332,0.7497850766332825,0.00990874496976611,0.7499055706819154,0.012934842377729508,0.5313090438090153,0.0
A_Edge-GAT_seed2,A,1.0,0.0,10,3.2748537182340747,0.2611494425989226,0.085856180247361,0.006838915106115729,1.1352285714743187,0.21258470596684723,0.14315706712225937,0.029739727645382494,0.2737379405050209,0.07261624403215149,0.7539118831901553,0.016740258951494957,0.7557392464137023,0.020908058398411675,0.5528610582156614,0.06815345368976404
A_Edge-GAT_seed3,A,1.0,0.0,10,3.0790079987318917,0.19601136599568658,0.06907667879895307,0.0123439832222445,0.9062242934469091,0.07376039165873077,0.10351062880670936,0.011812602339267942,0.2042736648752113,0.040007314951584154,0.7446748973137596,0.009461780070872425,0.7417287887527049,0.012939110233836768,0.5313090438090153,0.0
A_Edge-GAT_seed4,A,1.0,0.0,10,3.2108617388348977,0.0966119184637969,0.0825753105097663,0.004911230044144428,1.0885250825859394,0.18602669443397993,0.12655496102643676,0.02897331846235107,0.23805715606926575,0.061858146160077856,0.7522350834010362,0.006745775934731638,0.7530210440679977,0.008869300213771353,0.5313090438090153,0.0
A_Edge-GAT_seed5,A,1.0,0.0,10,3.1482844268832855,0.20610077489548748,0.07976997104671407,0.013828169879935346,1.1542428021260611,0.18559193356193787,0.13571049295392404,0.02369209749362493,0.28094244751190295,0.09774880638393485,0.7530475944352135,0.013563032292855246,0.7510038562966163,0.016067558535208033,0.5528610582156614,0.06815345368976404
A_Edge-GAT_seed6,A,1.0,0.0,10,3.058135114419623,0.22595889112858883,0.07197430157628219,0.01319492839911989,0.9939652351725904,0.20576656137020174,0.12170478794076334,0.025698769937679507,0.251765565047499,0.07736604004503313,0.745495974925053,0.014461807213257799,0.7416501887022126,0.0181757191430283,0.5313090438090153,0.0
A_Edge-GAT_seed7,A,1.0,0.0,10,3.1298134842095324,0.1408622043665277,0.08090734004943978,0.0056044704650097185,1.1430100775082548,0.2316274513444629,0.1412681698160885,0.02641595298901255,0.28841969579341836,0.09537307283319274,0.7465201323609504,0.009472082067268153,0.7454830678404413,0.012536118698108964,0.5313090438090153,0.0
A_Edge-GAT_seed8,A,1.0,0.0,10,3.1997038892443044,0.20631568253356644,0.07857094725373912,0.00929171844565531,1.1566914417080514,0.19837877363717454,0.13910084976810713,0.02524024764065558,0.2857600578237746,0.07287018102877385,0.7504259347887368,0.010688219337335119,0.7504776352856468,0.015189616878522,0.5313090438090153,0.0
A_Edge-GAT_seed9,A,1.0,0.0,10,3.2824267594892325,0.2178813973247737,0.08643287260222263,0.008099753536712214,1.2052053990933822,0.11097246170708812,0.13541013744254965,0.014942056939196037,0.3037998447066488,0.0594632281736356,0.7624535368757873,0.012499818041100588,0.7613545589785452,0.015180357535418102,0.6175171014355997,0.1112941238322169
A_Ensemble-4_seed0,A,1.0,0.0,10,3.128920499711959,0.18785725333489056,0.0734532973104193,0.012655755375635477,0.9624486215325117,0.08410987528085212,0.11996406481629207,0.013685013649882382,0.23649561585596005,0.044075963991944626,0.7467928303793556,0.009707722499497891,0.7450961471764275,0.013411651088628707,0.5313090438090153,0.0
A_Ensemble-4_seed1,A,1.0,0.0,10,3.197937834452798,0.07700955907475465,0.07874471415519257,0.007481649886601097,0.9612406928032415,0.14231419911338017,0.1271230025695651,0.01208269718193578,0.23990863399487425,0.05567493224576549,0.7485723566098696,0.006763459637301555,0.7489613524112738,0.008316331300721213,0.5313090438090153,0.0
A_Ensemble-4_seed2,A,1.0,0.0,10,3.2998866337913464,0.17540332483883275,0.0882912110284848,0.006339198495841884,0.9754132455614103,0.16501997101217533,0.12777590905005687,0.017780236471478066,0.19185407633863888,0.08075296205486628,0.7536493915180746,0.008616222574734558,0.7553266199396595,0.012287743167794705,0.5313090438090153,0.0
A_Ensemble-4_seed3,A,1.0,0.0,10,3.211463376591125,0.19674198018174416,0.07395138745207633,0.013004700958915066,0.8799114081669126,0.07104906116236652,0.11092955330956758,0.017108843842082475,0.18315017910690207,0.06735090383293427,0.7530432320909112,0.010184322338852157,0.7527265411984188,0.012736927832060901,0.5313090438090153,0.0
A_Ensemble-4_seed4,A,1.0,0.0,10,3.1311813515314277,0.2395269847016927,0.07313295773000422,0.016182064679225804,1.119080344507122,0.22024855094498863,0.13583136403657725,0.028937639768626053,0.2789033702770198,0.08395759573716605,0.7467751115495315,0.01295149900850051,0.7459980734021597,0.018351865726361473,0.5313090438090153,0.0
A_Ensemble-4_seed5,A,1.0,0.0,10,3.242473636901978,0.21555013877736814,0.08556389881530813,0.006666551680594279,1.1245945368351058,0.16363405518329624,0.1379675354757975,0.017022637721309523,0.2661310051643049,0.07874170079490753,0.7538966382683133,0.010942058738974521,0.755066609604476,0.014247754968589326,0.5313090438090153,0.0
A_Ensemble-4_seed6,A,1.0,0.0,10,3.1222201129890115,0.169091072939336,0.08032040331597609,0.012094356116510208,1.0757122326732926,0.21293209623836493,0.1352780175396801,0.027683941514663166,0.26982833549555896,0.07438024482941195,0.7486327335699458,0.010964081975236887,0.7457412837850269,0.013706387828902574,0.5313090438090153,0.0
A_Ensemble-4_seed7,A,1.0,0.0,10,3.195664295193403,0.08720273263404509,0.07794059551394865,0.00772057923376154,1.0152613185791572,0.19646399873951395,0.11552094610766053,0.029544255943740223,0.22542032541298668,0.06786818446578752,0.7534393423324448,0.0069922923886570195,0.7525123511600265,0.008133856879444283,0.5313090438090153,0.0
A_Ensemble-4_seed8,A,1.0,0.0,10,3.1816723289440616,0.21060228310725063,0.07325904251600332,0.009215738875349998,1.0410900233725047,0.17438326365815401,0.1174666271470686,0.02815018667395183,0.23481260719016922,0.0985177335325853,0.7511858518439519,0.012443643427025,0.7506260953514258,0.01637459519721386,0.5313090438090153,0.0
A_Ensemble-4_seed9,A,1.0,0.0,10,3.0734375070688382,0.2612166917198399,0.07354511500964642,0.015477029842921151,1.0160197538105682,0.2225388560394,0.12865158497143173,0.02669104093337669,0.2536514624411479,0.08593252598992819,0.7447539524401509,0.017676191390691376,0.7418462066993838,0.023305648637804457,0.5313090438090153,0.0
A_Fusion-rho025_seed0,A,1.0,0.0,10,3.059914561797803,0.21764732232210574,0.0712511020516821,0.012775757240864723,0.9105208106815873,0.11205676760351486,0.10257298030767344,0.01758691030773266,0.20482460338326297,0.06086408793945923,0.7454883706533735,0.013331681076183611,0.7424295804403052,0.01715114915484045,0.5313090438090153,0.0
A_Fusion-rho025_seed1,A,1.0,0.0,10,3.2807555821811087,0.23512002621949743,0.08336570479564372,0.014269212283849746,1.0514759209322349,0.22121151379692025,0.13937901934872735,0.02676474996411619,0.22674516062714462,0.11818373675680961,0.7552878254866111,0.013579963573172817,0.7584923302884101,0.017414460192059472,0.5313090438090153,0.0
A_Fusion-rho025_seed2,A,1.0,0.0,10,3.3134613705182696,0.13808193628445098,0.0884584540493156,0.0056454554525165596,1.0740190317901959,0.1883871324276527,0.13869364221023103,0.01780629709554659,0.23609225028877479,0.07965702341408498,0.7550229201146748,0.006378918787434205,0.7573458812361706,0.008449007261542412,0.5313090438090153,0.0
A_Fusion-rho025_seed3,A,1.0,0.0,10,3.160566586931643,0.19872958408996785,0.07156227515276091,0.007451523858039214,0.9366525741095184,0.029771548140932053,0.11928325439127183,0.019228885741774046,0.2044265439201865,0.044776059463031925,0.7511228417961353,0.012566225430456142,0.7488170208532211,0.016947919198968178,0.5313090438090153,0.0
A_Fusion-rho025_seed4,A,1.0,0.0,10,3.1686216666738893,0.15187616734993337,0.08298370783577265,0.005458206143505399,1.0931731918860585,0.13960532338210843,0.12690940419599206,0.020101573515350083,0.24630596940610613,0.05901279422139398,0.7491850693824272,0.008446338562837762,0.7490076400634053,0.010871064337069877,0.5313090438090153,0.0
A_Fusion-rho025_seed5,A,1.0,0.0,10,3.2176194582374293,0.22874376849165118,0.08439026425860392,0.012446742817350727,1.1285133096126663,0.1736195619277562,0.13840227839790334,0.019367817751717045,0.2647898714299175,0.09687802891472032,0.7546145534173975,0.012488931451306572,0.7543005335760793,0.016902293106027998,0.5313090438090153,0.0
A_Fusion-rho025_seed6,A,1.0,0.0,10,3.137956090287193,0.06650231486103818,0.08372508467692574,0.002214343232260769,1.0420467317825293,0.2048871948407875,0.1303475302858536,0.02216463618003797,0.25489488278645245,0.0856676894542072,0.7489523001854111,0.006443528057436585,0.7474253979369884,0.007000887319384259,0.5313090438090153,0.0
A_Fusion-rho025_seed7,A,1.0,0.0,10,3.113861029515486,0.09369197668164204,0.07727409868147583,0.007730414194771391,1.10849184983326,0.22007144219941754,0.1366438617456317,0.024307247204968414,0.2761832267619197,0.08651195765399247,0.747306693602422,0.006602593433190986,0.7448593322322458,0.007500909835215157,0.5313090438090153,0.0
A_Fusion-rho025_seed8,A,1.0,0.0,10,3.274299300599271,0.14336634187105923,0.0865271524482514,0.007219552634717164,1.1248822148828532,0.17994021031148233,0.13713589967927875,0.022077243101853047,0.23738716310881683,0.08767392599671686,0.7563155241754151,0.009107021929462115,0.757738089159283,0.012349486060273484,0.5313090438090153,0.0
A_Fusion-rho025_seed9,A,1.0,0.0,10,3.164717579653098,0.11865936057261166,0.08433877524061323,0.005309745866232633,1.085991712763244,0.17137698448691047,0.13748893279229085,0.017396230290064228,0.2699367164403868,0.06996518523722703,0.750895001710839,0.00823550658739069,0.7497459395899654,0.008993176219931266,0.5313090438090153,0.0
A_GCN_seed0,A,1.0,0.0,10,3.096481229512281,0.17755932781214442,0.06773440901125914,0.008214683228104312,0.941033676945891,0.082850687409857,0.10254919974269508,0.013999226581374105,0.20160614933267587,0.04792090551683986,0.7466954453187494,0.011141020618302657,0.743755046756698,0.014424496812047776,0.5313090438090153,0.0
A_GCN_seed1,A,1.0,0.0,10,3.2421939516985305,0.22747701125262457,0.08360280359422718,0.014687664499915267,0.8954917583698206,0.01721204788930298,0.12316373102328586,0.010011747461619737,0.18452200723927784,0.05909335056969681,0.7530767659915061,0.01638940012757771,0.7551703971627841,0.021494974229925808,0.5313090438090153,0.0
A_GCN_seed2,A,1.0,0.0,10,3.174404697149144,0.1497038973178488,0.08526956333689335,0.005043233030908545,1.1217591843610335,0.20443078978750437,0.13705544251819413,0.02699235599932713,0.2552142260730115,0.07311987763758816,0.7499266927078416,0.00798922716215106,0.7490571078301194,0.009995913806339508,0.5313090438090153,0.0
A_GCN_seed3,A,1.0,0.0,10,3.0861673175659123,0.19639027039164414,0.07213341354084643,0.010611524005807232,0.9383827421091944,0.11902211486582127,0.1037179904576492,0.012705230380454168,0.20869764181735811,0.07680076856919012,0.7448855462115811,0.0142773423628781,0.7426594043141247,0.017799458344318,0.5313090438090153,0.0
A_GCN_seed4,A,1.0,0.0,10,3.036974250481823,0.12035910990201051,0.07838073703872608,0.0094630062396995,1.116347188727091,0.2062411357462383,0.13026066351256008,0.03124140943468948,0.28386804029310725,0.06869827186558514,0.741955577065605,0.007398568265101627,0.7394326207325298,0.010010758014311696,0.5313090438090153,0.0
A_GCN_seed5,A,1.0,0.0,10,3.239777417131016,0.20578637848617537,0.08497315816336805,0.005006532171796488,1.1716223404580124,0.20336608492109906,0.13953355304273302,0.029770223869737086,0.2715246096245295,0.058498288674876844,0.7547271211447867,0.01108038660620478,0.7553493858118765,0.014356729494299907,0.5313090438090153,0.0
A_GCN_seed6,A,1.0,0.0,10,3.1158776585096897,0.10161454800308242,0.07992823309293504,0.009650880228081986,1.1057127000464861,0.19182749481964673,0.1366403124050107,0.020130796612243568,0.2842970454381607,0.07617309784746984,0.7488395840164814,0.006238988899458006,0.7466931390522398,0.008234824713884398,0.5313090438090153,0.0
A_GCN_seed7,A,1.0,0.0,10,3.1151315517316442,0.16913449053125534,0.07425592438260227,0.00984800350392332,1.0169572353274914,0.14068285506826267,0.12379390546579734,0.0216304043798882,0.23476618972565694,0.05852625650176229,0.7465740083300929,0.010544740508321963,0.7434122606677367,0.013876463405861666,0.5313090438090153,0.0
A_GCN_seed8,A,1.0,0.0,10,3.2137326739867262,0.11899481319556285,0.08425092186138379,0.005582018501558001,1.2399704327135617,0.15486902852939546,0.14745686180277412,0.02487847048872989,0.29272824093874006,0.07027424698889327,0.7530663398346835,0.005134142498151871,0.7540179609901945,0.006972737525318999,0.5313090438090153,0.0
A_GCN_seed9,A,1.0,0.0,10,3.1465695868104575,0.22753611641935723,0.0820797558466107,0.010936657787371731,1.040188299184728,0.181338305813329,0.12786433938570388,0.024061937547008524,0.26817296508463445,0.07479810716895183,0.7462484867053342,0.01438694117059765,0.7452948967837217,0.01826382993447009,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed0,A,1.0,0.0,10,3.1032603155499645,0.1529720665799384,0.07341564573821906,0.004580165573182323,0.8953588662199892,0.07701332093515952,0.11194537492155554,0.01802388861818413,0.20258539406588988,0.032334128340888446,0.74651646889124,0.009174021202895398,0.7450257265239122,0.01205078314480157,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed1,A,1.0,0.0,10,3.2164388634653207,0.14901921169088853,0.08184947477832097,0.010536446101150523,1.0878216720969416,0.17184263142249714,0.14235923980476725,0.021794099775176403,0.24987550010589912,0.08194516976985222,0.7566361444442737,0.007035423341808084,0.7574327735004295,0.010272594878775394,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed2,A,1.0,0.0,10,3.1485253829789714,0.20557021768423656,0.08045285708951751,0.007717094250851739,1.0465396282638193,0.19168255156884897,0.13091058894558355,0.019753819123565376,0.2461758858580755,0.08736698112981563,0.7472522191622272,0.008378406065274478,0.746092581887037,0.013008757522701515,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed3,A,1.0,0.0,10,3.4687856537480855,0.2531989854118291,0.08879796597516983,0.012697636622567012,0.9920304991704103,0.1503260960913803,0.12345948887552079,0.026452919308721415,0.19863925459826445,0.06662488551982577,0.7607560441706595,0.011632813871417702,0.766428270957109,0.015503746387049771,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed4,A,1.0,0.0,10,3.127943189366833,0.1646091975783817,0.07869690516729604,0.012899529642304328,1.085615557052281,0.19097991799844055,0.13316376526575188,0.02205621043533762,0.26263897295649874,0.049197066250413486,0.7499136583964521,0.010154003901097641,0.7472581810027051,0.012631274970611105,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed5,A,1.0,0.0,10,3.4035472293808224,0.3840404382489671,0.09224926657018813,0.013580993581833135,1.139782004490541,0.12350535564115458,0.14326765904588232,0.016818934981583666,0.2554700108297592,0.06823691735708834,0.7607909338436842,0.019718498735109443,0.7645885718645735,0.023213706928923845,0.5624034212293566,0.09832905507318938
A_Stable-Tail-GNN_seed6,A,1.0,0.0,10,3.349052067190931,0.16324707138726577,0.08615890898040506,0.013831045343161721,1.098363092143356,0.13381034379102005,0.13515352520357388,0.007940069677560564,0.23441372407173997,0.04891935006115789,0.7624965746817652,0.009317314211122668,0.7639486451612699,0.011605083062519811,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed7,A,1.0,0.0,10,3.131620418616633,0.14736789739069864,0.07975425753295863,0.009623631896642493,1.083951574344177,0.19186943811847532,0.1338198423016594,0.022296460287768053,0.28018283945265765,0.05031161599854174,0.7481652971382743,0.007562935768443544,0.7476611769300472,0.009878366712741204,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed8,A,1.0,0.0,10,3.45025327373866,0.264487796165824,0.08188197391139004,0.015185015428031207,0.9653219976947793,0.05385484949137872,0.11961742311162202,0.012592884872504564,0.16732530541187968,0.06396784265446938,0.7638855923285572,0.01265235235283385,0.7701162395535726,0.017443069400258623,0.5313090438090153,0.0
A_Stable-Tail-GNN_seed9,A,1.0,0.0,10,3.2685014821811302,0.21689780813318282,0.08491625249434143,0.006377112039181787,0.9509815787743385,0.1472077928688785,0.12498926991263073,0.016624775680880253,0.19792052485880757,0.04268084281531068,0.7498341147194217,0.011430699173391361,0.7514730747369488,0.015448326807825466,0.5313090438090153,0.0
A_TEG-low_seed0,A,1.0,0.0,10,3.1712302418659655,0.22784765374103214,0.0711987568187901,0.012354819940389814,0.9426872118747539,0.06237697081175882,0.12582945812959911,0.007453633142505467,0.2091573429917609,0.039744620363075175,0.7518142695202602,0.013172160537691529,0.7504632852089703,0.016788869851130542,0.5313090438090153,0.0
