P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,5,468,553,151,48,15,51,30
2,0,452,459,184,66,18,53,89
3,0,371,433,319,81,22,54,40
4,1,381,480,240,70,47,48,54
5,5,358,554,184,70,24,74,51
