risk_source,customer_set,beta,lambda_concentration,seed,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden
ST-v1_seed0,A,1.5,1.0,0,2.2846277453469357,0.0356436316388903,0.9122769952815588,0.10422585180496435,0.3032558904925722,0.6680223710221123,0.6421422209430065,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,1,2.2506418377271413,0.03899736965177073,0.7735070733819737,0.0942011733667149,0.27738412419304437,0.666413446830884,0.6398918743991246,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,2,2.251127640576703,0.03899736965177074,0.7735070733819737,0.0942011733667149,0.2771516201501054,0.6693912007013263,0.6434289069598951,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,3,2.2511276405767036,0.038997369651770725,0.7735070733819736,0.0942011733667149,0.2771516201501054,0.6693912007013265,0.6434289069598952,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,4,2.2681076757407697,0.03700468677103932,0.9122769952815588,0.10422585180496435,0.30829247462137843,0.6710062926203011,0.6468854618006763,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,5,2.2511276405767036,0.03899736965177074,0.7735070733819737,0.0942011733667149,0.2771516201501054,0.6693912007013263,0.6434289069598951,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,6,2.2665177308352478,0.038505064895779394,0.7735070733819736,0.0942011733667149,0.27754882730196995,0.6648784886759944,0.6393337991900157,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,7,2.251127640576703,0.038997369651770725,0.7735070733819736,0.0942011733667149,0.27715162015010564,0.6693912007013263,0.6434289069598951,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,8,2.26700353368481,0.038505064895779394,0.7735070733819736,0.0942011733667149,0.27731791619703916,0.6677865560231617,0.6428461813982402,0.5313090438090153
ST-v1_seed0,A,1.5,1.0,9,2.285113548196497,0.0356436316388903,0.754635846857458,0.07274351974853643,0.2721257925391396,0.6688086887566369,0.6420057049606808,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,0,2.964920127477317,0.06415909029795211,1.16851211084941,0.08570808164216329,0.3204921840735846,0.7270308832313161,0.7081033530917298,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,1,2.9833500713220182,0.06283082543588692,1.1618393499892945,0.10389654182218548,0.31947282680470557,0.718800374212258,0.7020552823517244,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,2,2.9895930182890056,0.06283082543588692,1.1037391912294048,0.13115998260057604,0.3037040880472175,0.7224414019341456,0.7055868354278931,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,3,2.9941575014073716,0.06633650581493322,1.1215645170458999,0.13115998260057604,0.35006842084326384,0.7191380272537733,0.7001185538966879,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,4,2.9792334283118005,0.06283082543588692,1.1037391912294048,0.13115998260057604,0.30883198175195825,0.721936912593012,0.7030538690256708,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,5,3.043853043739202,0.06849223130959377,1.1215645170459,0.13115998260057604,0.303743092257279,0.7321201070657624,0.7162282959554885,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,6,2.993319374268971,0.06283082543588692,1.1045647431316208,0.13115998260057604,0.3035466481071587,0.720865303129903,0.7047084568137756,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,7,2.9748531867652828,0.06633650581493322,1.161839349989294,0.10389654182218548,0.3302708963095553,0.7246749753461987,0.7075104507630026,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,8,2.989593018289005,0.06283082543588692,1.1037391912294048,0.13115998260057604,0.3037040880472175,0.7224414019341456,0.7055868354278931,0.5313090438090153
ST-v1_seed0,B,1.5,1.0,9,2.88190467579453,0.053338948398221654,1.1495902902039012,0.10389654182218548,0.359686505620209,0.7236030328351974,0.7024661625619838,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,0,2.4793647228143607,0.04135839285451438,0.8939437458928661,0.10422585180496437,0.2702934187314199,0.6914642453294007,0.6729337995335579,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,1,2.468365186220371,0.042985026204232696,0.7639066474895607,0.0942011733667149,0.25006257291229317,0.6884798584738325,0.6715396207483747,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,2,2.4681438685808867,0.04298502620423268,0.7488397888292052,0.09418384999941198,0.2227631102676817,0.6876990363825346,0.667844931223608,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,3,2.471026514429962,0.05490829926952114,0.7647217238997254,0.08362755556008168,0.24829902825165018,0.6916906291488882,0.6733390384458567,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,4,2.4688247116255737,0.042985026204232696,0.9273411096214449,0.09076702896280879,0.27657020004415256,0.6925710378394956,0.6745049141863281,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,5,2.451182191306347,0.043582269290551985,0.8833028825583061,0.11821519561844178,0.26477440014313847,0.692292742969751,0.6707313236713093,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,6,2.4745508219249106,0.04298502620423269,0.9133313144897691,0.11821519561844178,0.27253735130577783,0.687956835640376,0.6701779433249291,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,7,2.4681438685808867,0.042985026204232696,0.7488397888292052,0.09418384999941198,0.2227631102676817,0.6876990363825346,0.667844931223608,0.5313090438090153
