P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,682,364,202,87,91,96,8
2,2,831,248,116,117,72,126,17
3,2,818,296,141,106,60,91,16
4,2,763,310,99,131,77,87,60
5,1,686,395,166,81,62,116,22
