P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,912,291,127,108,25,24,43
2,0,800,256,129,83,101,83,77
3,0,707,295,180,136,83,68,61
4,0,652,311,162,152,103,95,54
5,1,745,317,125,114,69,101,57
