P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,707,306,162,40,22,72,12
2,0,633,275,134,70,49,152,8
3,0,584,247,199,90,71,123,6
4,0,539,286,193,61,108,106,28
5,1,577,366,156,53,35,123,9
