P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,324,782,368,7,43,4,2
2,0,391,677,313,50,41,57,0
3,0,284,721,379,59,56,31,0
4,0,285,676,359,131,38,30,10
5,0,282,623,437,84,72,31,0
