P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,95,326,752,278,13,65,1
2,0,123,404,559,272,39,130,2
3,0,106,415,636,225,55,93,0
4,0,95,376,645,260,67,73,13
5,0,188,443,585,169,30,111,3
