customer_set,target,reference,avg_risk_at_b_target,avg_risk_at_b_reference,avg_risk_at_b_difference,avg_risk_at_b_relative_change,common_aubrc_target,common_aubrc_reference,common_aubrc_difference,common_aubrc_relative_change,cvar90_aubrc_target,cvar90_aubrc_reference,cvar90_aubrc_difference,cvar90_aubrc_relative_change,cvar95_aubrc_target,cvar95_aubrc_reference,cvar95_aubrc_difference,cvar95_aubrc_relative_change,load_cvar90_aubrc_target,load_cvar90_aubrc_reference,load_cvar90_aubrc_difference,load_cvar90_aubrc_relative_change,max_vehicle_cvar90_aubrc_target,max_vehicle_cvar90_aubrc_reference,max_vehicle_cvar90_aubrc_difference,max_vehicle_cvar90_aubrc_relative_change
A,Stable-Tail-Gate,Stable-Tail GNN,3.4641054791460864,3.3938803973712854,0.07022508177480091,0.020691678418948627,1.0009513846331661,0.9890710919440241,0.011880292689142036,0.012011565989436868,0.024535240839245975,0.023840759530765226,0.0006944813084807482,0.029129999300375777,0.040218729658480154,0.03919424794952957,0.0010244817089505864,0.026138572941715146,0.014848919082612313,0.014767659480456559,8.125960215575427e-05,0.00550253764029366,0.04353518535439568,0.043774547684265884,-0.00023936232987020745,-0.005468070888846092
A,Stable-Tail-Gate,GraphSAGE-TEG-Gate,3.4641054791460864,3.283696599561202,0.18040887958488439,0.05494078825946872,1.0009513846331661,0.9611858786245203,0.03976550600864581,0.04137129653372542,0.024535240839245975,0.023226497361669887,0.0013087434775760874,0.05634700132097952,0.040218729658480154,0.03862375436963883,0.0015949752888413243,0.04129519035191979,0.014848919082612313,0.013860279176193362,0.0009886399064189515,0.07132900382307784,0.04353518535439568,0.04156193353781429,0.001973251816581388,0.047477382512499985
B,Stable-Tail-Gate,Stable-Tail GNN,4.802904372749246,4.720352449149992,0.08255192359925445,0.017488508429937755,1.420255602373567,1.3893212017503993,0.030934400623167768,0.022265837866845616,0.034996920450094046,0.03382745060927791,0.0011694698408161383,0.03457162215058602,0.06786619831531608,0.06574420188631153,0.002121996429004555,0.03227655622988246,0.019981369816130756,0.019733393110156556,0.0002479767059741997,0.012566349060061167,0.06332263303486006,0.0598221311600613,0.0035005018747987643,0.058515164987590226
B,Stable-Tail-Gate,GraphSAGE-TEG-Gate,4.802904372749246,4.778952657805394,0.023951714943852842,0.005011917183303301,1.420255602373567,1.4094528957798518,0.010802706593715294,0.007664467983323756,0.034996920450094046,0.034531004171183335,0.00046591627891071075,0.013492694176731544,0.06786619831531608,0.06572164795593005,0.00214455035938603,0.03263080622676164,0.019981369816130756,0.019815100935203545,0.00016626888092721032,0.008391018620724042,0.06332263303486006,0.06213003731499066,0.0011925957198694048,0.019195155377163466
AB,Stable-Tail-Gate,Stable-Tail GNN,4.133504925947666,4.057116423260639,0.07638850268702768,0.01882827474436059,1.2106034935033665,1.1891961468472116,0.021407346656154846,0.018001527092811265,0.029766080644670012,0.028834105070021567,0.000931975574648445,0.032321987186801425,0.05404246398689812,0.05246922491792055,0.0015732390689775708,0.029984034858694025,0.017415144449371533,0.01725052629530656,0.00016461815406497438,0.009542790245200815,0.053428909194627866,0.051798339422163595,0.0016305697724642715,0.03147919007872867
AB,Stable-Tail-Gate,GraphSAGE-TEG-Gate,4.133504925947666,4.031324628683298,0.10218029726436839,0.025346581254538397,1.2106034935033665,1.185319387202186,0.025284106301180387,0.021331049313923194,0.029766080644670012,0.02887875076642661,0.0008873298782434008,0.03072604786091552,0.05404246398689812,0.05217270116278444,0.0018697628241136771,0.035837953228528036,0.017415144449371533,0.016837690055698455,0.0005774543936730783,0.03429534524798742,0.053428909194627866,0.05184598542640247,0.001582923768225393,0.030531269782534808
