model,seed,customer_set,budget,risk20_or_risk_at_b,cvar90,cvar95,load_cvar90,max_vehicle_cvar90,selected_beta,cost_increase,source_file
GAT,0,A,0.1,5.29025338874083,0.15913891856892087,0.3052399247598858,0.10680109049156754,0.30353802435243843,0.25,0.059569095535369994,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.15,4.861488187915035,0.14352802836680537,0.27273433195306207,0.07708014343013905,0.30519873967724326,0.5,0.10565139647171114,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.2,3.2741664899885166,0.07050948027569995,0.1017781912182979,0.04979620288791171,0.11874108035085443,1.0,0.17315981222558552,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.25,3.2741664899885166,0.07050948027569995,0.1017781912182979,0.04979620288791171,0.11874108035085443,1.0,0.17315981222558552,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.3,2.7129844280760755,0.061251058012777825,0.08714344318226816,0.03699655239899506,0.10098353703578802,2.0,0.27967102256062254,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.35,2.7129844280760755,0.061251058012777825,0.08714344318226816,0.03699655239899506,0.10098353703578802,2.0,0.27967102256062254,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,A,0.4,2.7129844280760755,0.061251058012777825,0.08714344318226816,0.03699655239899506,0.10098353703578802,2.0,0.27967102256062254,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,B,0.1,7.320136822797275,0.1801450746826579,0.36264112911400115,0.11615108645764516,0.37535896499051785,0.25,0.06709209369091126,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,B,0.15,6.346829416723002,0.15651872486296045,0.3185424003934424,0.10035430860848413,0.3307849930460357,0.5,0.1264767492282367,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
GAT,0,B,0.2,6.346829416723002,0.15651872486296045,0.3185424003934424,0.10035430860848413,0.3307849930460357,0.5,0.1264767492282367,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_model_pyvrp_budget_sweep_10seed\model_pyvrp_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_common_eval_10seed\common_route_summary.csv;D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\paper_all_models_with_gate_load_eval_10seed\load_aware_summary.csv
