beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct
0.0,0.0,10,134064.6,210.608747312272,8.152367887154105,0.7896181247589447,0.2511930190304082,0.05333163546373113,2.1427913995605197,0.17751265228557056,0.3654931837546506,0.06173837408362897,0.1312182676231764,0.029184785574062337,0.161936650283714,0.07185551057501299,0.8515994598198933,0.006085372576585984,0.889041959224377,0.010148614779867527,0.8789135694503785,0.03659297698224046,0.0,0.0
0.25,0.0,10,142946.4,79.54621298339728,6.644497884489101,0.5798093657984011,0.1962804190165729,0.00910941456892422,2.149714764871169,0.012487590036527498,0.33343743783615837,0.08954983225186146,0.21359562038708457,0.034356084414221666,0.27303351186860625,0.0698415106285246,0.8524297745114762,0.007823903752998601,0.8825525842730115,0.010302816009837656,0.8629518449306488,0.06399121188690382,0.06625015104658491,0.18496098600270583
0.5,0.0,10,149866.9,174.26509180619686,4.461569084436633,0.27024958109286834,0.12710544940299506,0.013341542982709615,1.4792026084673124,0.2672363764648423,0.18210132231137582,0.014971642695121743,0.20684860347598488,0.09052111167558244,0.14088361612256034,0.09598515259426532,0.8146511553427725,0.0060895579792614,0.829448542917928,0.008869213400871493,0.6164379358291626,0.062019652498535374,0.11787078766505094,0.45272721420394996
1.0,0.0,10,160976.6,264.25248868795495,3.756735913547891,0.2977522669070472,0.1055767392420122,0.009476402255154915,1.2831183618051,0.1560339543649254,0.1660230497632264,0.01684815429121954,0.25678184810573673,0.09106225491807084,0.13074803865250395,0.06325513762292213,0.8013451318215028,0.009588510606494785,0.8020588878052799,0.015113227273021765,0.5968255996704102,0.0,0.20073904669838272,0.5391846926500931
2.0,0.0,10,177278.2,681.8655455602828,2.7033408887858967,0.22281445558840307,0.06534245303842698,0.006546063098265449,0.9595003712398466,0.1540252688928668,0.11394593357108533,0.031179538762900125,0.31078784037219953,0.0500790524234282,0.09597803835068444,0.027546807152571903,0.7443551711853317,0.016439738836903122,0.7222411219327729,0.022621301063203186,0.5968255996704102,0.0,0.32233415830875567,0.6683980744973139
