method,customer_set,BRS
J-load,A,0.20386329715302834
J-risk,A,0.22855781861998728
J-balanced,A,0.23031209644178743
J-conc,A,0.23031209644178743
J-tail,A,0.3083767252058176
Stable-Tail-GNN,A,2.7523162327133
TEG-low,A,3.551482357636587
GCN,A,4.119707907411788
J-conc,B,0.4801610977083024
J-risk,B,0.4913504634196742
J-tail,B,0.5009621254167019
J-balanced,B,0.5740175138000758
J-load,B,0.9145101812693929
Stable-Tail-GNN,B,1.6755428329963247
TEG-low,B,2.7405458856726432
GCN,B,4.320789362803324
J-conc,Overall,0.3552365970750449
J-risk,Overall,0.35995414101983075
J-balanced,Overall,0.4021648051209316
J-tail,Overall,0.40466942531125977
J-load,Overall,0.5591867392112106
Stable-Tail-GNN,Overall,2.2139295328548125
TEG-low,Overall,3.1460141216546154
GCN,Overall,4.220248635107556
