method,customer_set,BRS
Three-model + multi-eta,A,0.05244425424772207
J-full,A,1.2629125783745154
Stable-Tail-GNN,A,2.6649071711122314
TEG-low,A,3.5125435321704495
GCN,A,4.116052891028964
Three-model + multi-eta,B,0.3333333333333333
J-full,B,0.719043190416857
Stable-Tail-GNN,B,1.3499971059234863
TEG-low,B,2.565754070398835
GCN,B,4.172080188617545
Three-model + multi-eta,Overall,0.1928887937905277
J-full,Overall,0.9909778843956862
Stable-Tail-GNN,Overall,2.0074521385178588
TEG-low,Overall,3.039148801284642
GCN,Overall,4.144066539823255
