setting,candidate_pool,selection_rule,evidence,customer_set,budget,cost_increase_pct_mean,common_global_risk_mean,common_global_cvar90_mean,load_global_risk_mean,common_top10_burden_share_mean
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,A,0.2,0.1784913990755377,2.90094501183904,0.0624961924072846,1.4216474476995895,0.7253663022530146
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,A,0.25,0.2275035278537653,2.7132402706874394,0.0541686386297336,1.3739280365364157,0.7088807076372284
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,A,0.3,0.2732894563293245,2.415219232162026,0.0425742204359084,1.2181447709377848,0.6667561266747553
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,B,0.2,0.1572309099314841,4.848113839671079,0.1154552310976962,2.114773872419365,0.8193525495553932
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,B,0.25,0.2225753543689394,3.535528215300908,0.0818770613773543,1.6781013423093765,0.7541647257737724
GCN-BJR,只用 GCN 路线,"固定 J: (1,2,1,0.5)",GCN 路线池效果,B,0.3,0.287898986541235,3.2933414316366543,0.0764670373863263,1.4339840523882017,0.7388927501498702
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,A,0.2,0.1964887457908427,2.778065017571437,0.0530534102333341,1.4218154614911185,0.7197094952403555
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,A,0.25,0.2266721465426323,2.5443475798349056,0.0462927361196197,1.234992162224842,0.6879232255513402
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,A,0.3,0.2700915712012184,2.442571482185067,0.0431746979435823,1.1918284089372997,0.6725094363269901
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,B,0.2,0.1866285229971204,3.5623543419059,0.0834827185173998,1.735070417445676,0.7543918543099088
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,B,0.25,0.2134823538615406,3.389069317672896,0.0786235880349033,1.5175071060911605,0.7432529338498114
Stable-BJR,只用 Stable-Tail 路线,"固定 J: (1,2,1,0.5)",Stable-Tail 路线池效果,B,0.3,0.2804923334197753,3.229164869491038,0.0726063589865017,1.4438769180472095,0.7324350931340138
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,A,0.2,0.1849914954071432,2.950639698089744,0.0596483545434537,1.4259337188044072,0.7323545515423278
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,A,0.25,0.2066165482505189,2.7611944849153227,0.0559497667929178,1.38465749822285,0.7118583585675731
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,A,0.3,0.2890150743107779,2.259044972850144,0.0402365037304309,1.131441752934777,0.6426411899073914
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,B,0.2,0.173542181892444,4.264618436983059,0.0995527064495901,2.073805681759876,0.7938993530585173
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,B,0.25,0.2130594958641492,3.431112811287298,0.0802330105838371,1.6639623353218274,0.7461010144341049
TEG-BJR,只用 TEG-low 路线,"固定 J: (1,2,1,0.5)",TEG-low 路线池效果,B,0.3,0.2710852785393015,3.201703684723591,0.0702095449323747,1.475613590533871,0.7248535157091256
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,A,0.2,0.1927140340992724,2.6967812548647423,0.0509123247296111,1.3184786930664074,0.708468344128797
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,A,0.25,0.2377290923260659,2.3572602367527926,0.0401863083820945,1.2146464421808638,0.6559647817145692
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,A,0.3,0.2806529877575846,2.17652971026752,0.0363016181512679,1.0669911607518556,0.6301122503272428
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,B,0.2,0.1885684497121982,3.505149581291996,0.0811635864804769,1.6461877424763611,0.7483242092695341
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,B,0.25,0.2207207114512139,3.341531064640801,0.0773809325318242,1.4363204173478663,0.7391560851076818
Multi-BJR,三模型 + 多 eta 路线,"固定 J: (1,2,1,0.5)",多源候选路线互补效果,B,0.3,0.2857493241687671,3.1146140802215925,0.0660113160685304,1.5229434512711022,0.7185120628339887
