weight_setting,customer_set,BRS
J-risk,A,1.4606935224590594
J-balanced,A,1.4703288628007207
J-conc,A,1.4703288628007207
J-tail,A,1.5661204727687537
J-load,A,3.168166892627602
J-conc,B,1.0
J-tail,B,1.1365943110233123
J-risk,B,1.1548191934048608
J-balanced,B,1.724574820036971
J-load,B,3.5
J-conc,Overall,1.2351644314003605
J-risk,Overall,1.30775635793196
J-tail,Overall,1.351357391896033
J-balanced,Overall,1.5974518414188459
J-load,Overall,3.3340834463138007
