method,customer_set,cost_increase_pct_mean,common_global_risk_mean,common_global_cvar90_mean,load_global_risk_mean,common_top10_burden_share_mean
GCN,A,0.1784913990755377,2.90094501183904,0.0624961924072846,1.4216474476995895,0.7253663022530146
J-full,A,0.1924237483902633,2.736096386450334,0.0514163014870549,1.3520417967528142,0.7141115461265618
Stable-Tail-GNN,A,0.1964887457908427,2.778065017571437,0.0530534102333341,1.4218154614911185,0.7197094952403555
TEG-low,A,0.1849914954071432,2.950639698089744,0.0596483545434537,1.4259337188044072,0.7323545515423278
Three-model + multi-eta,A,0.1927140340992724,2.6967812548647423,0.0509123247296111,1.3184786930664074,0.708468344128797
GCN,B,0.1572309099314841,4.848113839671079,0.1154552310976962,2.114773872419365,0.8193525495553932
J-full,B,0.1866285229971204,3.5623543419059,0.0834827185173998,1.735070417445676,0.7543918543099088
Stable-Tail-GNN,B,0.1866285229971204,3.5623543419059,0.0834827185173998,1.735070417445676,0.7543918543099088
TEG-low,B,0.173542181892444,4.264618436983059,0.0995527064495901,2.073805681759876,0.7938993530585173
Three-model + multi-eta,B,0.1885684497121982,3.505149581291996,0.0811635864804769,1.6461877424763611,0.7483242092695341
