P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,6,16,44,29,1,9,0
2,0,6,6,49,28,8,8,0
3,0,6,7,43,29,11,9,0
4,0,5,5,54,26,4,11,0
5,0,5,5,44,27,15,8,0
