node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,3,4.176715850830078,0.45381656289100647,0.3066215515136719,0.14533564448356628,0.1285502165555954,0.16200274229049683,0.14819175004959106,0.10929819196462631,0.10535069555044174,0.09325766563415527,0.10801319777965546
1,0,1,4.327859878540039,0.47540855407714844,0.36483582854270935,0.16633090376853943,0.1158464327454567,0.11866889148950577,0.13760428130626678,0.09671363979578018,0.13865125179290771,0.10154018551111221,0.12464439868927002
2,0,1,4.331160545349121,0.47588008642196655,0.34510183334350586,0.14501605927944183,0.13449004292488098,0.13492967188358307,0.13748414814472198,0.10297825932502747,0.10849307477474213,0.09628098458051682,0.14032776653766632
3,0,1,1.8406965732574463,0.1200995072722435,0.09217619895935059,0.7446945309638977,0.06757254153490067,0.07412898540496826,0.017804831266403198,0.0036228979006409645,0.005385540425777435,0.0775023028254509,0.009288356639444828
4,0,2,2.467905282974243,0.20970074832439423,0.08906630426645279,0.25997915863990784,0.45269516110420227,0.13113757967948914,0.04227233678102493,0.02484951540827751,0.02123112790286541,0.054282039403915405,0.013553133234381676
5,0,1,3.0556318759918213,0.2936616837978363,0.217820405960083,0.3315582871437073,0.2832825183868408,0.048297882080078125,0.08525975048542023,0.0337812602519989,0.04695607349276543,0.1459815353155136,0.02488280087709427
6,0,7,4.605401515960693,0.515057384967804,0.4362669885158539,0.1417468935251236,0.09846600145101547,0.12963323295116425,0.11249013245105743,0.08139669895172119,0.1496056318283081,0.1700456589460373,0.1166156753897667
7,0,1,4.2583699226379395,0.4654814302921295,0.37961599230766296,0.16666513681411743,0.12866070866584778,0.1303214430809021,0.1253414750099182,0.0693952739238739,0.1518402248620987,0.13817083835601807,0.0896049365401268
8,0,1,1.2809463739395142,0.04013519734144211,0.006622678600251675,0.8926287293434143,0.006671655457466841,0.051950160413980484,0.040421515703201294,0.001705263159237802,0.00033937778789550066,0.003391226986423135,0.002892073942348361
9,0,1,4.137923240661621,0.44827476143836975,0.3620494604110718,0.180076003074646,0.14349207282066345,0.11389991641044617,0.12387972325086594,0.07660290598869324,0.1677573174238205,0.11025136709213257,0.08404074609279633
10,0,2,4.189040660858154,0.45557722449302673,0.321946918964386,0.13738694787025452,0.16481322050094604,0.13024437427520752,0.12540064752101898,0.12020783126354218,0.12194788455963135,0.10302731394767761,0.09697173535823822
