method,alpha,rho,raw_model,gate05_model,raw_avg_risk_at_b,gate05_avg_risk_at_b,raw_minus_gate05_avg_risk_at_b,raw_common_aubrc,gate05_common_aubrc,raw_minus_gate05_common_aubrc,raw_cvar90_aubrc,gate05_cvar90_aubrc,raw_minus_gate05_cvar90_aubrc,raw_cvar95_aubrc,gate05_cvar95_aubrc,raw_minus_gate05_cvar95_aubrc,raw_load_cvar90_aubrc,gate05_load_cvar90_aubrc,raw_minus_gate05_load_cvar90_aubrc,raw_max_vehicle_cvar90_aubrc,gate05_max_vehicle_cvar90_aubrc,raw_minus_gate05_max_vehicle_cvar90_aubrc
tail_only_correction,0.3,0.2,Stable-Tail-TailOnlyRaw-a030,Stable-Tail-TailOnlyGate05-a030,3.972190397760407,4.030656289572285,-0.05846589181187767,1.1622222847024295,1.1795088118166728,-0.017286527114243277,0.028012552606605203,0.028552892759165026,-0.0005403401525598227,0.0510116991462926,0.05221905184429733,-0.0012073526980047322,0.0167393160187209,0.01729080308668311,-0.0005514870679622086,0.04992787908751309,0.05097739802868191,-0.0010495189411688227
risk_matrix_ensemble,0.1,0.4,Stable-Tail-MatrixEnsRaw-r040,Stable-Tail-MatrixEnsGate05-r040,4.005047368151725,4.031400679302759,-0.026353311151033232,1.170687282865585,1.1771692966026635,-0.0064820137370784625,0.028249861029170136,0.028479376903338398,-0.00022951587416826166,0.05131709516667776,0.05159518709477019,-0.00027809192809243044,0.01682592688536825,0.016887089217395453,-6.116233202720436e-05,0.0505777002925972,0.05074693964805868,-0.00016923935546148128
edge_tail_correction,0.05,0.2,Stable-Tail-EdgeTailRaw-a005,Stable-Tail-EdgeTailGate05-a005,4.011940316539731,4.032696421982705,-0.020756105442973904,1.17272443164115,1.1806121907113205,-0.007887759070170475,0.028247674433356892,0.028631772725136735,-0.0003840982917798427,0.05119709398795415,0.0522410115000376,-0.0010439175120834504,0.016980696481842437,0.016832413155892244,0.00014828332595019297,0.05065527678773135,0.05057828732277944,7.698946495190984e-05
edge_tail_correction,0.3,0.2,Stable-Tail-EdgeTailRaw-a030,Stable-Tail-EdgeTailGate05-a030,4.008142614130303,4.04260316637704,-0.0344605522467365,1.1729753584550284,1.1805368025259086,-0.007561444070880219,0.02826637576439617,0.028472456559488168,-0.00020608079509199656,0.05140736209076442,0.0519232172030273,-0.0005158551122628752,0.01676595109171815,0.017058353756866554,-0.00029240266514840227,0.04951128437066379,0.05159520837354213,-0.0020839240028783443
node_calibration,0.05,0.2,Stable-Tail-NodeCalibRaw-a005,Stable-Tail-NodeCalibGate05-a005,4.011614315142665,4.031242671572421,-0.0196283564297568,1.1723033603105288,1.1806535305308352,-0.008350170220306374,0.02829489063363999,0.028646611120458118,-0.0003517204868181273,0.05145020232331833,0.0520688271798794,-0.0006186248565610702,0.016746209227545886,0.01705143172371655,-0.0003052224961706644,0.05083013261564859,0.05109281031546607,-0.00026267769981748457
tail_only_correction,0.2,0.2,Stable-Tail-TailOnlyRaw-a020,Stable-Tail-TailOnlyGate05-a020,4.018922811092546,4.020861424026589,-0.0019386129340430713,1.1749516322247344,1.176597787679277,-0.0016461554545426083,0.028161792271027435,0.028355415460128694,-0.00019362318910125936,0.05153642554534737,0.051775065957548314,-0.00023864041220094528,0.016927159211359812,0.01695794406521681,-3.0784853856997973e-05,0.050372316933958244,0.05120611755012356,-0.0008338006161653158
edge_tail_correction,0.1,0.2,Stable-Tail-EdgeTailRaw-a010,Stable-Tail-EdgeTailGate05-a010,4.024252335606839,4.035509501255325,-0.011257165648485667,1.1737415405295757,1.1817537012627222,-0.008012160733146478,0.02837561974463587,0.028504302921594248,-0.000128683176958376,0.051403752139793014,0.051814586676239116,-0.00041083453644610163,0.016888291402650014,0.016946577284579704,-5.828588192969067e-05,0.05053675416154082,0.05038811514364063,0.0001486390179001873
edge_tail_correction,0.2,0.2,Stable-Tail-EdgeTailRaw-a020,Stable-Tail-EdgeTailGate05-a020,4.013557408454956,4.030498592634965,-0.016941184180009117,1.1739190056377753,1.1770944992168308,-0.003175493579055555,0.0283760019097617,0.02834093329213882,3.50686176228826e-05,0.05149491243797505,0.05208053877969454,-0.0005856263417194918,0.017031835458578917,0.01707721783110801,-4.538237252909444e-05,0.050276714645428905,0.05142762518341547,-0.001150910537986563
tail_only_correction,0.1,0.2,Stable-Tail-TailOnlyRaw-a010,Stable-Tail-TailOnlyGate05-a010,4.022325620096269,4.04444173906486,-0.022116118968591003,1.1761229653785614,1.1819065594923988,-0.0057835941138373315,0.028499219071740835,0.028621279862023404,-0.00012206079028256878,0.05157774153303017,0.052009355891594417,-0.00043161435856424457,0.01684752468344672,0.016931010158839556,-8.34854753928374e-05,0.05049711088425747,0.050564547743424976,-6.743685916750508e-05
risk_matrix_ensemble,0.1,0.2,Stable-Tail-MatrixEnsRaw-r020,Stable-Tail-MatrixEnsGate05-r020,4.019339183371686,4.0238393162882815,-0.004500132916595234,1.1751250878530572,1.1768281580689182,-0.0017030702158609135,0.02857785904306024,0.02864669106349462,-6.883202043438119e-05,0.051963965424026815,0.05188619753854676,7.776788548005675e-05,0.01675821791490186,0.016955851649114773,-0.00019763373421291183,0.05085936002999898,0.05130086701134813,-0.000441506981349149
