P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,2,882,347,77,85,36,61,40
2,2,801,295,90,82,88,83,88
3,1,773,285,125,87,109,82,68
4,2,756,283,105,110,155,73,45
5,3,656,381,142,79,88,110,70
