node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.7632627487182617,0.10903753340244293,0.0391429141163826,0.7126073837280273,0.048198603093624115,0.14583653211593628,0.023440582677721977,0.030773835256695747,0.014764427207410336,0.014497368596494198,0.009881116449832916
1,0,1,1.4823558330535889,0.0689079761505127,0.01959414593875408,0.8059758543968201,0.05311563238501549,0.07686862349510193,0.018391573801636696,0.026054156944155693,0.006437164731323719,0.008173181675374508,0.004983799532055855
2,0,1,1.3974618911743164,0.05678027123212814,0.007751108147203922,0.7795666456222534,0.12853994965553284,0.05138595774769783,0.01124820951372385,0.021508123725652695,0.002514854772016406,0.0028550312854349613,0.002381222089752555
3,0,1,1.1698025465011597,0.024257507175207138,0.0020849662832915783,0.8944783806800842,0.06791801005601883,0.024652352556586266,0.003355968976393342,0.007510163355618715,0.0006935135461390018,0.0007362462929449975,0.0006552064442075789
4,0,1,1.0705039501190186,0.010071992874145508,0.0016015489818528295,0.9695325493812561,0.0033441949635744095,0.02134423516690731,0.0017466220306232572,0.0024308152496814728,0.0004979185177944601,0.0007068501436151564,0.000396780320443213
5,0,1,1.0330342054367065,0.004719172138720751,0.00012479923316277564,0.9786131381988525,0.01289504487067461,0.006816816050559282,0.000449318322353065,0.0011009869631379843,4.1208983020624146e-05,3.77356554963626e-05,4.58545982837677e-05
6,0,1,1.0608881711959839,0.008698309771716595,0.0011809548595920205,0.9738770723342896,0.002217160537838936,0.018797611817717552,0.0016115433536469936,0.00231560948304832,0.00037627763231284916,0.0005353675223886967,0.0002693097630981356
7,0,1,1.0407456159591675,0.005820802412927151,0.0004920742358081043,0.9810084104537964,0.003880351549014449,0.011781563051044941,0.0009887708583846688,0.0018488417845219374,0.00015579620958305895,0.0001924564130604267,0.0001438216131646186
8,0,1,1.1518402099609375,0.02169145829975605,0.004260368645191193,0.935058057308197,0.01333983987569809,0.03579718992114067,0.004603550303727388,0.006940955296158791,0.0015591717092320323,0.001372611615806818,0.0013285854365676641
9,0,1,1.1361557245254517,0.01945081725716591,0.002374066971242428,0.9311164617538452,0.01712624728679657,0.04524286463856697,0.0018995126010850072,0.002240814734250307,0.0009273943142034113,0.0008816847112029791,0.0005649879458360374
