P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,1002,244,132,53,49,17,32
2,1,711,334,139,133,103,83,25
3,1,625,403,182,137,105,54,23
4,2,661,348,147,160,155,49,7
5,3,725,339,146,104,112,70,30
