P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,2,472,673,252,46,13,68,4
2,0,521,485,228,97,57,138,3
3,1,427,534,258,153,37,118,2
4,0,454,514,283,128,44,95,11
5,3,409,619,201,100,44,149,4
