P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,751,505,113,79,20,57,5
2,0,762,349,146,113,39,108,12
3,0,697,428,165,92,43,89,16
4,0,724,375,157,115,61,70,27
5,0,681,491,121,80,41,95,20
