group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
high_high,3142,1367,Hop-shortest,3142 3143 4625 1391 1392 3680 4429 3636 4787 3477 5018 3946 1368 1367,13,0.03768950865532343,0.43095046281814575,0.14828691553945342,0.21974206762388349,0.43095046281814575,0.03306863313684097,0.7748941343498683,0.8134599329841652,0.4899636125192046,0.0,0.0,0.0
high_high,3142,1367,Mean-risk-raw,3142 3143 4625 3379 2386 3535 3712 3837 3740 3777 5018 3946 1368 1367,13,0.005159741858593547,0.008566392585635185,0.007503132180621226,0.008566392585635185,0.008566392585635185,0.0005800677463412285,0.08346334244493107,0.1343986868057856,0.0670766441617161,0.0,0.863098723152732,0.9610161464337421
high_high,3142,1367,Mean-risk-floor,3142 3143 4625 3379 2386 3535 3712 3837 3740 3777 5018 3946 1368 1367,13,0.005159741858593547,0.008566392585635185,0.007503132180621226,0.008566392585635185,0.008566392585635185,0.0005800677463412285,0.08346334244493107,0.1343986868057856,0.0670766441617161,0.0,0.863098723152732,0.9610161464337421
high_high,3142,1367,CVaR-risk,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.005303418926464824,0.008566392585635185,0.00700344261713326,0.008566392585635185,0.008566392585635185,0.000649450418467705,0.0829108595631649,0.13630622565599437,0.0689444460440427,0.0,0.8592865994876311,0.9610161464337421
high_high,3142,1367,CVaR+Concentration,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.005303418926464824,0.008566392585635185,0.00700344261713326,0.008566392585635185,0.008566392585635185,0.000649450418467705,0.0829108595631649,0.13630622565599437,0.0689444460440427,0.0,0.8592865994876311,0.9610161464337421
high_normal,3414,3516,Hop-shortest,3414 4295 3566 4094 4733 3846 3516,6,0.005961069604381919,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.0010733317273358505,0.1747021225012926,0.11541045544286765,0.03576641762629151,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-raw,3414 4295 3566 4094 4733 3846 3516,6,0.005961069604381919,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.0010733317273358505,0.1747021225012926,0.11541045544286765,0.03576641762629151,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-floor,3414 4295 3566 4094 4733 3846 3516,6,0.005961069604381919,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.0010733317273358505,0.1747021225012926,0.11541045544286765,0.03576641762629151,0.0,0.0,0.0
high_normal,3414,3516,CVaR-risk,3414 4295 3566 4094 4733 3846 3516,6,0.005961069604381919,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.0010733317273358505,0.1747021225012926,0.11541045544286765,0.03576641762629151,0.0,0.0,0.0
high_normal,3414,3516,CVaR+Concentration,3414 4295 3566 4094 4101 4733 3846 3516,7,0.005418233340606093,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.00775851309299469,0.0009199986234307289,0.15860643419674597,0.17916086927045916,0.037927633384242654,0.16666666666663887,-0.06042583801577119,0.0
normal_high,220,858,Hop-shortest,220 3477 4203 3514 1298 3643 858,6,0.005356704855027298,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0011813890499373276,0.20402885987138755,0.25434504655093404,0.03214022913016379,0.0,0.0,0.0
normal_high,220,858,Mean-risk-raw,220 3477 4203 3514 1298 3643 858,6,0.005356704855027298,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0011813890499373276,0.20402885987138755,0.25434504655093404,0.03214022913016379,0.0,0.0,0.0
normal_high,220,858,Mean-risk-floor,220 3477 4203 3514 1298 3643 858,6,0.005356704855027298,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0011813890499373276,0.20402885987138755,0.25434504655093404,0.03214022913016379,0.0,0.0,0.0
normal_high,220,858,CVaR-risk,220 3477 4203 3514 1298 3643 858,6,0.005356704855027298,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0011813890499373276,0.20402885987138755,0.25434504655093404,0.03214022913016379,0.0,0.0,0.0
normal_high,220,858,CVaR+Concentration,220 3477 4203 3514 1298 3643 858,6,0.005356704855027298,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0011813890499373276,0.20402885987138755,0.25434504655093404,0.03214022913016379,0.0,0.0,0.0
