group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
normal_high,1257,5116,CVaR-risk,1257 1258 4083 3391 2435 3608 4814 294 3894 3471 4912 1838 1837 5116,13,0.004551630574636734,0.004910093732178211,0.004901207983493805,0.004910093732178211,0.004910093732178211,0.0,0.07732100912477409,0.03980713044990547,0.05917119747027755,0.0,0.0,0.0
normal_high,1257,5116,CVaR+Concentration,1257 1258 4083 3391 2435 3608 4814 294 3894 3471 4912 1838 1837 5116,13,0.004551630574636734,0.004910093732178211,0.004901207983493805,0.004910093732178211,0.004910093732178211,0.0,0.07732100912477409,0.03980713044990547,0.05917119747027755,0.0,0.0,0.0
normal_high,946,374,Hop-shortest,946 3471 326 3636 373 372 3583 374,7,0.004790747937347207,0.00502971513196826,0.00502971513196826,0.00502971513196826,0.00502971513196826,1.1488529188292368e-05,0.14332645892465973,0.029640423618765066,0.033535235561430454,0.0,0.0,0.0
normal_high,946,374,Mean-risk-raw,946 3471 326 3636 373 372 3583 374,7,0.004790747937347207,0.00502971513196826,0.00502971513196826,0.00502971513196826,0.00502971513196826,1.1488529188292368e-05,0.14332645892465973,0.029640423618765066,0.033535235561430454,0.0,0.0,0.0
normal_high,946,374,Mean-risk-floor,946 3471 326 3636 373 372 3583 374,7,0.004790747937347207,0.00502971513196826,0.00502971513196826,0.00502971513196826,0.00502971513196826,1.1488529188292368e-05,0.14332645892465973,0.029640423618765066,0.033535235561430454,0.0,0.0,0.0
normal_high,946,374,CVaR-risk,946 3471 3760 4103 3514 1298 3643 4036 3334 3926 375 374,11,0.0039101924366233025,0.004809762351214886,0.004635600373148918,0.004635600373148918,0.004809762351214886,0.0,0.09863798853008277,0.12860924797161677,0.043012116802856326,0.5714285714284898,-0.28259474199259327,0.0783572724101289
normal_high,946,374,CVaR+Concentration,946 3471 3760 4103 3514 1298 3643 4036 3334 3926 375 374,11,0.0039101924366233025,0.004809762351214886,0.004635600373148918,0.004635600373148918,0.004809762351214886,0.0,0.09863798853008277,0.12860924797161677,0.043012116802856326,0.5714285714284898,-0.28259474199259327,0.0783572724101289
normal_high,2063,1536,Hop-shortest,2063 5153 3934 3777 3566 4485 4620 3458 1537 1536,9,0.09372291082723273,0.794832170009613,0.27065498506029445,0.794832170009613,0.794832170009613,0.08891421163247691,0.8883734553055971,0.8391903843509381,0.8435061974450946,0.0,0.0,0.0
normal_high,2063,1536,Mean-risk-raw,2063 5153 3934 3804 5126 1916 1915 3812 1645 1644 3813 1536,11,0.0036925348474390125,0.004727721214294434,0.004542039396862189,0.004542039396862189,0.004727721214294434,0.0,0.09911002741943037,0.14877848693535256,0.04061788332182914,0.22222222222219754,0.9518463723849226,0.9942855365330753
normal_high,2063,1536,Mean-risk-floor,2063 5153 3934 3804 5126 1916 1915 3812 1645 1644 3813 1536,11,0.0036925348474390125,0.004727721214294434,0.004542039396862189,0.004542039396862189,0.004727721214294434,0.0,0.09911002741943037,0.14877848693535256,0.04061788332182914,0.22222222222219754,0.9518463723849226,0.9942855365330753
