model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,ordinal_nll,uncertainty_mean,correct_uncertainty,error_uncertainty,error_uncertainty_corr,high_fn_uncertainty
ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.5475461133069829,0.7596692427192102,0.789023761801026,0.655266483876983,0.7096774193548387,0.7857142857142857,0.9069430982571725,0.2903225806451613,0.29246217012405396,0.10277387063894697,0.6052413726145834,1.3104474544525146,1.30080246925354,1.3483185768127441,0.04218110454859076,1.2141276597976685
ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_val,0.21607142857142855,0.5862244897959185,1.3687456233060469,0.15017813099479294,0.2222222222222222,0.4,0.34101257984875943,0.7777777777777778,0.518725574016571,0.09478714813788733,1.2890935639662777,1.318372130393982,1.2643117904663086,1.4209002256393433,0.1582349813306933,1.547861099243164
ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2021_test,0.2831059461494244,0.6155610050236898,1.2791394764122537,0.25670237648677274,0.21568627450980393,0.55,0.3718648331359433,0.7843137254901961,0.49007448554039,0.09214604735105356,1.2376957523170453,1.2283447980880737,1.1942821741104126,1.3020658493041992,0.12035342000334427,1.3462940454483032
ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.5746545132331642,0.777708646393776,0.6955667303985358,0.7238585227033771,0.7419354838709677,0.92,0.9355959209162834,0.25806451612903225,0.2545430064201355,0.11460200619341723,0.4178188736902451,1.068965196609497,1.0483142137527466,1.163615345954895,0.15756664428835168,1.1844067573547363
ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_val,0.24728260869565216,0.604296066252588,1.3091067955580262,0.392908481073311,0.4444444444444444,0.5,0.4770626123150111,0.5555555555555556,0.49139246344566345,0.09839055155004774,1.2972930281129282,1.0795246362686157,1.050810694694519,1.136952519416809,0.16042293806335964,1.2319281101226807
ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2021_test,0.31732266914951,0.635607139436888,1.260868113436348,0.3413648054913372,0.29411764705882354,0.6521739130434783,0.43605177890100444,0.7058823529411765,0.46866676211357117,0.08976943521817167,1.352746819732337,1.0404775142669678,1.0107969045639038,1.1081936359405518,0.18913247243229486,1.1098612546920776
ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.5649508831597332,0.7617148730298802,0.71322063277326,0.6941963039472949,0.7096774193548387,0.8461538461538461,0.9294946190122201,0.2903225806451613,0.2781979739665985,0.11285329630125812,0.32789541646839054,1.0128990411758423,0.9653804898262024,1.199479103088379,0.18564638734374359,1.106817603111267
ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_val,0.19076655052264807,0.5490293678446989,1.3266934026452353,0.2760138321282616,0.2222222222222222,1.0,0.4744588744588744,0.7777777777777778,0.5522668957710266,0.13992381911902196,1.6824917481695536,0.9761040210723877,0.9738749265670776,0.9799149632453918,0.008029252831497455,1.099403977394104
ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2021_test,0.2720738359397343,0.6045379411231624,1.2600687687756156,0.20265320669528097,0.17647058823529413,0.6,0.3893227893846682,0.8235294117647058,0.4951953887939453,0.07688414899140394,1.6713445796235717,0.9676844477653503,0.8830993175506592,1.1415212154388428,0.2681894066796287,1.2175034284591675
ua_gnn,B,0,50,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.38805212975592984,0.7035923896220633,0.9744805131933252,0.569554866249701,0.55,0.7333333333333333,0.8112805064881222,0.45,0.3537216782569885,0.10184906632917307,0.7471529892052318,1.3691917657852173,1.3537873029708862,1.418331503868103,0.0669489777308567,1.3592029809951782
