split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,ordinal_nll,uncertainty_mean,correct_uncertainty,error_uncertainty,error_uncertainty_corr,high_fn_uncertainty
data_2020_train,0.20520064265832716,0.5831003856560402,1.1501034025872232,0.09570499535482035,0.075,0.75,0.4446877274946402,0.925,0.49260708689689636,0.0508940160132251,1.1452115986891183,2.399016857147217,2.416586399078369,2.362457513809204,-0.06624027329647733,2.341012716293335
data_2021_train,0.19228210246174318,0.5342407191649883,1.1110835248348583,0.18511160796100135,0.16,1.0,0.563341064392657,0.84,0.527390718460083,0.0650525919722216,1.1554502376819988,2.3859970569610596,2.4332690238952637,2.3042924404144287,-0.16282665340116237,2.161480665206909
data_2021_test,0.16256648936170212,0.510434636764424,1.3378409511872034,0.03564813453679472,0.038461538461538464,1.0,0.3835980810254514,0.9615384615384616,0.6053398847579956,0.13292363715601394,1.2217045766246395,2.410210132598877,2.395306348800659,2.4342312812805176,0.04978513334236317,2.4017913341522217
