experiment_tag,model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std,brier_mean,brier_std,ece_mean,ece_std,ordinal_nll_mean,ordinal_nll_std,uncertainty_mean_mean,uncertainty_mean_std,correct_uncertainty_mean,correct_uncertainty_std,error_uncertainty_mean,error_uncertainty_std,error_uncertainty_corr_mean,error_uncertainty_corr_std,high_fn_uncertainty_mean,high_fn_uncertainty_std
,ua_gnn,A,data_2020_train,3,0.5623838365666267,0.013735306068589486,0.7663642540476222,0.009877630238047434,0.7326037083242739,0.04965210864609623,0.6911071035092183,0.03440020809675935,0.7204301075268816,0.018624202231923393,0.8506227106227106,0.06725430341277007,0.9240112127285586,0.015092941063205302,0.2795698924731183,0.018624202231923428,0.2750677168369293,0.019152405234709433,0.11007639104454077,0.006384324535713957,0.4503185542577397,0.14150041263333255,1.1307705640792847,0.15810974715975915,1.104832390944163,0.17470748219672386,1.2371376752853394,0.0979410379629869,0.12846471206022866,0.07603133358314185,1.1684506734212239,0.0554058618503461
,ua_gnn,A,data_2020_val,3,0.2180401959299096,0.028309419660908997,0.5798499746310685,0.02817938645388363,1.3348486071697696,0.030644379001984304,0.2730334813987885,0.12139261748624991,0.2962962962962963,0.12830005981991682,0.6333333333333333,0.32145502536643183,0.430844688874215,0.07780778059858069,0.7037037037037037,0.12830005981991682,0.5207949777444204,0.030489931970659304,0.11103383960231901,0.025084244385556634,1.4229594467495865,0.22479895331903024,1.1246669292449951,0.17554268605105328,1.0963324705759685,0.15047447304262535,1.1792559027671814,0.22351550862150923,0.10889572407518346,0.08735977652518925,1.2930643955866497,0.23039462143143574
,ua_gnn,A,data_2021_test,3,0.29083415041288957,0.02359360257707387,0.61856869519458,0.01575145774483918,1.2666921195414058,0.010787133899898726,0.2669067962244636,0.06991655416835664,0.22875816993464052,0.059902950260860656,0.6007246376811595,0.051090810832093665,0.399079800473872,0.03318720311668127,0.7712418300653594,0.05990295026086061,0.4846455454826355,0.014072919064632023,0.08626654385354306,0.008211825090645877,1.420595717224318,0.22464512241364026,1.0788355867067974,0.13449706631955072,1.0293927987416585,0.15642265825120957,1.1839269002278645,0.10365949235573807,0.1925584330384226,0.07397751444657824,1.2245529095331829,0.11837393092971933
,ua_gnn,B,data_2020_train,3,0.4071322909002646,0.07438344137563506,0.6942939313275333,0.04373849984348531,0.9935828452562226,0.12784325621066725,0.5346300009329207,0.12621830162090142,0.5166666666666667,0.1527525231651947,0.7404040404040404,0.0443640227393894,0.7430599858774513,0.09579909658905031,0.48333333333333334,0.1527525231651947,0.3663506507873535,0.04292526508706604,0.09334860650812145,0.008560194837589652,0.7468701121306659,0.11040789567971815,1.397257645924886,0.1542677375078195,1.365028977394104,0.14026411314962872,1.4917303721110027,0.18200000438699196,0.11529854228419112,0.04332597976865824,1.5021894375483196,0.321265374126728
,ua_gnn,B,data_2021_test,3,0.25975572116739426,0.03242450126949184,0.5950704227131668,0.019150083996728462,1.3340645913603784,0.0521605235999672,0.21672907562658308,0.08424153765779557,0.1923076923076923,0.07692307692307691,0.4583333333333333,0.07216878364870323,0.3831403774458388,0.06261831507665129,0.8076923076923076,0.07692307692307693,0.4947887857755025,0.02332886460342604,0.08370023504928782,0.01956926660026993,1.2131263868750313,0.21672837790704796,1.3508307536443074,0.1050149822912329,1.2780038118362427,0.07108717857640628,1.4951818784077961,0.167733814819784,0.21368019055800647,0.0533621646293532,1.5841375589370728,0.23868186497301902
,ua_gnn,B,data_2021_train,3,0.5073058806294404,0.14232039965288593,0.722495165602505,0.06866871633451749,0.8670938366617699,0.1344819686988894,0.5785424745106428,0.15317198856630873,0.5599999999999999,0.1833030277982336,0.8168449197860963,0.06618659783147894,0.8612310086914143,0.06929046783630763,0.44,0.1833030277982336,0.313000629345576,0.05978199617310644,0.10821672031153022,0.004854022709921567,0.6455033703380435,0.10482291966734981,1.3446989456812541,0.14586929784859334,1.323491096496582,0.11792486175056426,1.401755690574646,0.2240374706543032,0.06252684730267871,0.12212808132151716,1.350217302640279,0.2641238511237432
,ua_teg_gnn,A,data_2020_train,3,0.38168189100625344,0.06758406570933458,0.6976404056026725,0.02770518743980506,0.7163932442327127,0.10239717492860474,0.6398845572975733,0.06605793657682965,0.7096774193548386,0.11630810566012871,0.6860628618693134,0.04107249469053936,0.7841205281856171,0.03237085338833602,0.2903225806451613,0.11630810566012868,0.3275778790314992,0.03840962890177106,0.07849635674585752,0.008379939641965754,0.6411550528943145,0.2721523339764008,1.4875807364781697,0.43799989336492196,1.512265960375468,0.5409166914704725,1.4225624799728394,0.17250077859801347,-0.09768701018494423,0.3484242496900411,1.3021614948908489,0.13823723852516998
,ua_teg_gnn,A,data_2020_val,3,0.22537003903102973,0.0318726604630239,0.6007601073390547,0.037117030222667234,1.289359092533979,0.03559271233996502,0.29014881672559595,0.1833958981509995,0.25925925925925924,0.16972502573910517,0.4682539682539682,0.12218098665349723,0.4284955268552333,0.11568309802448876,0.7407407407407408,0.16972502573910514,0.5021751523017883,0.02003603759591574,0.12202514560213167,0.049505167432449496,1.3132056850906217,0.2076804932326726,1.4292601744333904,0.3330501199373814,1.4372323751449585,0.39186346860086374,1.427568515141805,0.2331299774555923,-0.03027689392442942,0.23324707971338074,1.3462666670481365,0.25297410010215804
,ua_teg_gnn,A,data_2021_test,3,0.24448833891855296,0.026350923525163373,0.5825763455745747,0.016412848095721376,1.2301642769427075,0.010409729694854214,0.2937815211052572,0.05466134427691453,0.28758169934640526,0.06303039713067289,0.5023569023569023,0.04174031853914323,0.3719892634344812,0.04476803541483982,0.7124183006535948,0.0630303971306729,0.5133190155029297,0.011614191366731903,0.0754144141959283,0.008563696235438283,1.3227800499129618,0.12297930780393497,1.4228709936141968,0.36581875092096644,1.4198907017707825,0.4405221350542404,1.4331581989924114,0.23575542852006653,-0.003951226105607127,0.22418620295974787,1.3578092257181804,0.2460422385889966
,ua_teg_gnn,B,data_2020_train,3,0.30745168566145303,0.10332363039369791,0.647825612169074,0.06050427046636935,0.9823446720787015,0.20015009650074161,0.4001969503393779,0.27011800919656265,0.39999999999999997,0.28831406486676986,0.6902789886660855,0.05392338383696316,0.6274192608441029,0.1739489802729625,0.6,0.2883140648667699,0.4077785909175873,0.08603055120628197,0.0724653624170056,0.021161575866014807,0.8624764472923702,0.24499177304653616,1.6672420899073284,0.6401921635220644,1.6560805241266887,0.6772374615308762,1.69248362382253,0.5884013170742812,0.013356750987589733,0.21872038141790873,1.6924241781234741,0.593685460700063
