delta,set,model_seeds,cost_inc_mean,cost_inc_std,risk_reduction_mean,risk_reduction_std,global_risk_mean,global_risk_std,cvar90_mean,cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,edge_gini_mean,edge_gini_std,top10_share_mean,top10_share_std
0.03,A,10,0.17207667528341872,0.015013048624549748,0.6100490412701592,0.023715667386936302,3.2593631191138734,0.18027511936893167,0.08097518043050733,0.006696661994506488,1.075664244121063,0.08822051721924455,0.7537987643409625,0.008273888770757486,0.7544810580614059,0.011640617859192208
0.03,B,10,0.1999931299073607,0.016457115503632033,0.5119280756131264,0.017586704106000415,4.0917556860668025,0.14768575481405813,0.09516088002172504,0.004779680840340872,1.3973676030183044,0.07365593360651235,0.7793051051071607,0.0061163673887784575,0.7847035328681056,0.007711154406678429
0.05,A,10,0.171961228167195,0.014989580924820991,0.5837986964975719,0.03124576035878193,3.276435186493995,0.2040302622273087,0.08332994465796187,0.00761797069916193,1.1002028538836497,0.09459186782676615,0.7560320663676658,0.010310442443189627,0.7571397303143448,0.013114789063038519
0.05,B,10,0.19856567362430144,0.017068097697553578,0.5249358947719399,0.023754822395667008,3.9896348366738503,0.19949532268551426,0.09287149530810722,0.00570759751003877,1.3532052439892064,0.10849432459112086,0.7761061905088493,0.00815502492006355,0.779978852710031,0.011254006005270184
0.08,A,10,0.17203046920243342,0.015166215205273026,0.5829078912768162,0.018315754011531796,3.251555501258454,0.1427854650576389,0.08120904265802255,0.004265347493336718,1.0698591254742087,0.10528282103493947,0.7537595099385066,0.007803036863815579,0.755137666359083,0.010668976387449836
0.08,B,10,0.19963184305418974,0.017126247257553944,0.5210898813555085,0.02431807045525238,4.021934033644642,0.20422553499892956,0.09437666000952177,0.005085126079807901,1.3995192381280794,0.10048964897821569,0.7787864544653165,0.008013882018282438,0.7829082712368121,0.011047403668363463
