delta,seeds,hop_increase_pct_mean_mean,hop_increase_pct_mean_std,total_risk_aggregate_reduction_mean,total_risk_aggregate_reduction_std,cvar90_aggregate_reduction_mean,cvar90_aggregate_reduction_std,max_risk_aggregate_reduction_mean,max_risk_aggregate_reduction_std,re_aggregate_reduction_mean,re_aggregate_reduction_std
0.03,10,0.10235592278090938,0.007249856358706876,0.8499319017171763,0.004111704253145696,0.9004420265611865,0.0026409457174749323,0.9077585736366856,0.0026748053031302225,0.9172836282132271,0.005051808810259207
0.05,10,0.10235592278090938,0.007249856358706876,0.8498027141213005,0.004126960179868315,0.9004164548895235,0.0026105864455321114,0.9077137519355372,0.0026684965620152098,0.917338254744894,0.005076261568983604
0.08,10,0.10235592278090938,0.007249856358706876,0.8496114457401581,0.0041504003567364245,0.9003655859552091,0.0025644896246417616,0.907647330012876,0.002660335051649023,0.9174549787469304,0.005112078447656838
