node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.3640170097351074,0.061363473534584045,0.018722090870141983,0.8252537846565247,0.083002470433712,0.05304110050201416,0.008875720202922821,0.011104759760200977,0.011259573511779308,0.004649207461625338,0.002813308732584119
1,0,1,2.2983951568603516,0.24590826034545898,0.12084648013114929,0.608063817024231,0.08417688310146332,0.10468341410160065,0.03142627701163292,0.050803087651729584,0.04772556200623512,0.04311414062976837,0.030006784945726395
2,0,1,1.6089048385620117,0.11064513027667999,0.04731743782758713,0.7798564434051514,0.07478242367506027,0.055934980511665344,0.016517112031579018,0.02559151127934456,0.023426078259944916,0.014034710824489594,0.009856649674475193
3,0,1,1.0151032209396362,0.0021585056092590094,1.8051388224193943e-06,0.9857394099235535,0.013425507582724094,0.0008324543596245348,3.7913204664619116e-07,4.801649424734933e-07,1.2290147424209863e-06,4.893384470960882e-07,8.678571816744807e-08
4,0,1,1.0944716930389404,0.0134976701810956,3.4268132367287762e-06,0.9062297344207764,0.09308580309152603,0.0006759386160410941,3.5307029975228943e-06,1.554562231831369e-06,3.3413552955607884e-06,6.707736588396074e-08,1.8380722721644815e-08
5,0,1,1.0291354656219482,0.004321358632296324,0.00031829829094931483,0.9744622111320496,0.023296546190977097,0.0017257359577342868,0.00011835842451546341,7.886288221925497e-05,0.0002196507848566398,7.184418063843623e-05,2.6803305445355363e-05
6,0,1,1.387293815612793,0.06817373633384705,0.02569209411740303,0.8112179040908813,0.1042737290263176,0.04588061571121216,0.006507213227450848,0.006428418215364218,0.011569901369512081,0.0106813944876194,0.0034407973289489746
7,0,1,3.0598092079162598,0.3969487249851227,0.20538057386875153,0.40729793906211853,0.13361728191375732,0.1204405203461647,0.07177068293094635,0.06149306893348694,0.06930338591337204,0.07503070682287216,0.061046481132507324
8,0,1,1.0000046491622925,6.641660661443893e-07,1.8687501768472128e-14,0.9999954700469971,4.573051683109952e-06,1.2064101939657235e-09,1.2443299395156673e-14,1.672136529141542e-15,1.8681386190592952e-14,5.94857259504343e-18,1.683750693776123e-19
9,0,1,1.0005521774291992,7.922462827991694e-05,6.842808488727314e-07,0.9996110796928406,0.0002300027263117954,0.0001570025342516601,1.3498350881491206e-07,1.054130393640662e-06,5.615394798041962e-07,1.0479934076101927e-07,1.7942051400154924e-08
10,0,1,1.1059335470199585,0.01728302612900734,0.004299324005842209,0.9333429932594299,0.04620382562279701,0.013220163993537426,0.0013658475363627076,0.001567763858474791,0.0032607887405902147,0.0006528967642225325,0.00038563841371797025
11,0,1,2.0263309478759766,0.2011399269104004,0.10904243588447571,0.7211135029792786,0.026885785162448883,0.1066109836101532,0.009781735949218273,0.026565657928586006,0.029122700914740562,0.05443626642227173,0.02548346295952797
