configuration,runs,hop_increase_mean,hop_increase_std,total_risk_reduction_mean,total_risk_reduction_std,cvar90_reduction_mean,cvar90_reduction_std,maxrisk_reduction_mean,maxrisk_reduction_std,re_reduction_mean,re_reduction_std
st_v1,3,0.09777409010741067,0.006206967650213513,0.8539275297027381,0.0025306354842474267,0.9005728399810503,0.0012757208576031555,0.9082543756534809,0.0024158590258152907,0.9179968823737149,0.003158557114542731
st_v1_best,3,0.09270847362512824,0.005384005582858147,0.8490670544578266,0.002775055575015346,0.898300913874296,0.003960169623111419,0.9056459746513486,0.003854445567090707,0.9160251596984894,0.003998521319727674
st_v2,3,0.09529189637521733,0.009484282798387627,0.8478987069893329,0.0063504399340653635,0.8975698919031813,0.0029757061885981487,0.9062085807518004,0.005542404605591297,0.9139202558131019,0.00515389429502721
st_v2_std,3,0.09853347270012655,0.003437797857507976,0.7000006619778253,0.034592941177868486,0.843380940472649,0.02261117504524,0.8582698714799329,0.014176850961534565,0.8984092125673754,0.02930243564576729
