configuration,runs,best_epoch_mean,best_epoch_std,mae_mean,mae_std,pr_auc_high_mean,pr_auc_high_std,recall_6_8_mean,recall_6_8_std,high_fn_rate_mean,high_fn_rate_std
st_v1,3,50.0,0.0,1.1547684752556762,0.05882669036496851,0.39600866764260245,0.01828932193833785,0.2948717948717949,0.04441155916843275,0.7051282051282051,0.04441155916843272
st_v1_best,3,46.666666666666664,5.773502691896257,1.205347086904838,0.12715234832801822,0.37700001768233254,0.036786759289632584,0.28205128205128205,0.022205779584216392,0.717948717948718,0.02220577958421636
st_v2,3,46.0,4.58257569495584,1.2110624920266413,0.10742458508995414,0.35832319036467913,0.029310416577840184,0.2692307692307692,0.038461538461538464,0.7307692307692307,0.03846153846153849
st_v2_std,3,30.333333333333332,25.890796305508513,1.9068495804512704,0.8215538637893455,0.2506750241483616,0.0992435995366398,0.2435897435897436,0.12363654821785841,0.7564102564102564,0.12363654821785838
