P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,749,449,150,110,8,48,16
2,0,783,336,106,103,41,92,68
3,0,689,346,188,145,29,94,39
4,0,672,334,164,139,49,108,63
5,0,639,437,136,94,41,116,66
