model,model_seed,customer_set,budget,selected_beta,cost_increase,common_global_risk_mean,common_global_cvar90_mean,common_global_cvar95_mean,common_max_edge_risk_mean,common_high_risk_edge_hits_mean,common_max_vehicle_risk_mean,common_max_vehicle_cvar90_mean,common_edge_burden_gini_used_mean,common_top10_burden_share_mean,load_global_risk_mean,load_cvar90_mean,load_cvar95_mean,load_max_vehicle_risk_mean,load_edge_burden_gini_used_mean,load_top10_burden_share_mean
GAT,0,A,0.1,0.25,0.059569095535369994,5.523354478884869,0.14625020270794817,0.32056812458204786,0.8450813558654918,42.8,1.703587972271087,0.32264279631872206,0.8296589254510147,0.8534287649451722,3.322123050659189,0.11128506401862885,0.21106106461316848,1.1842157245207647,0.8798690675946406,0.8797017599904209
GAT,0,A,0.15,0.5,0.10565139647171114,5.077257367500259,0.136963383965614,0.28869565721654283,0.8422528180124284,41.3,1.6071684353178803,0.30719282847029755,0.8203366155258932,0.8412097174344693,2.5010506396162975,0.08098222421685755,0.1518817109213016,0.9944003930619958,0.8618535335248332,0.8537220031164023
GAT,0,A,0.2,1.0,0.17315981222558552,3.474881790947266,0.09024915414989423,0.1691703355871615,0.3785263521431105,41.2,1.185365072170211,0.1309549151231828,0.7705711535464645,0.7716235938780788,1.8125553099766099,0.05249689362927562,0.08843535931739584,0.7002026292691891,0.8140668755747094,0.7858018569065324
GAT,0,A,0.25,1.0,0.17315981222558552,3.474881790947266,0.09024915414989423,0.1691703355871615,0.3785263521431105,41.2,1.185365072170211,0.1309549151231828,0.7705711535464645,0.7716235938780788,1.8125553099766099,0.05249689362927562,0.08843535931739584,0.7002026292691891,0.8140668755747094,0.7858018569065324
GAT,0,A,0.3,2.0,0.27967102256062254,2.901570129019139,0.0639930247595145,0.1320575604049286,0.3802302715449012,37.6,0.8992920026167479,0.10696490237598918,0.7317665365609092,0.7228896104145571,1.4952910420407801,0.03975464813407205,0.0696210651860695,0.5134275350969926,0.7894824049407309,0.7441667595282535
GAT,0,A,0.35,2.0,0.27967102256062254,2.901570129019139,0.0639930247595145,0.1320575604049286,0.3802302715449012,37.6,0.8992920026167479,0.10696490237598918,0.7317665365609092,0.7228896104145571,1.4952910420407801,0.03975464813407205,0.0696210651860695,0.5134275350969926,0.7894824049407309,0.7441667595282535
GAT,0,A,0.4,2.0,0.27967102256062254,2.901570129019139,0.0639930247595145,0.1320575604049286,0.3802302715449012,37.6,0.8992920026167479,0.10696490237598918,0.7317665365609092,0.7228896104145571,1.4952910420407801,0.03975464813407205,0.0696210651860695,0.5134275350969926,0.7894824049407309,0.7441667595282535
GAT,0,B,0.1,0.25,0.06709209369091126,7.466619929414297,0.22005310550504714,0.37364460104927455,0.8497501577930704,49.1,2.4523727252692344,0.37907439132927084,0.8420932422622531,0.8734042539729749,3.950119871346641,0.11803813940441296,0.2104412558990326,1.4324375583399056,0.874017169472228,0.881324737522297
GAT,0,B,0.15,0.5,0.1264767492282367,6.498463692794182,0.15502207559439446,0.3293134489404348,0.741031740403031,46.2,2.110517265592097,0.3363651304797577,0.8345932217082783,0.8586424794395098,3.4194464220454206,0.10362420572228351,0.186719351905197,1.1755235277566964,0.868392135386389,0.8653611723029963
GAT,0,B,0.2,0.5,0.1264767492282367,6.498463692794182,0.15502207559439446,0.3293134489404348,0.741031740403031,46.2,2.110517265592097,0.3363651304797577,0.8345932217082783,0.8586424794395098,3.4194464220454206,0.10362420572228351,0.186719351905197,1.1755235277566964,0.868392135386389,0.8653611723029963
GAT,0,B,0.25,1.0,0.21137207351835707,5.2038324456892475,0.12864521195617146,0.2599399602570708,0.5379343264282015,40.6,1.5915369827413322,0.20941166205576006,0.8199923480639468,0.832072567322989,2.3556907734366224,0.06559634145238159,0.11886923116414434,0.76663015424193,0.8385496696203155,0.8158226398579123
GAT,0,B,0.3,1.0,0.21137207351835707,5.2038324456892475,0.12864521195617146,0.2599399602570708,0.5379343264282015,40.6,1.5915369827413322,0.20941166205576006,0.8199923480639468,0.832072567322989,2.3556907734366224,0.06559634145238159,0.11886923116414434,0.76663015424193,0.8385496696203155,0.8158226398579123
GAT,0,B,0.35,2.0,0.34397127450034176,3.8981725467285044,0.0886771564845664,0.16674816766577094,0.3939630628423029,42.1,1.2451070339654546,0.1470992386452783,0.7786194020514969,0.7738519782499955,1.8237614327315703,0.04512431802973478,0.07782559854724529,0.6134330934626927,0.800591140799907,0.7584587143374827
GAT,0,B,0.4,2.0,0.34397127450034176,3.8981725467285044,0.0886771564845664,0.16674816766577094,0.3939630628423029,42.1,1.2451070339654546,0.1470992386452783,0.7786194020514969,0.7738519782499955,1.8237614327315703,0.04512431802973478,0.07782559854724529,0.6134330934626927,0.800591140799907,0.7584587143374827
GAT,1,A,0.1,0.5,0.0939724504623957,5.29355173177102,0.13687349818355415,0.296914236955016,0.7165829454738406,43.3,1.7678001977951563,0.2621592524030125,0.8231813757267494,0.8446072062490261,2.7756045821733637,0.08691178187878121,0.16301036449875764,0.9939768043942653,0.8582139529807392,0.8529740506026606
GAT,1,A,0.15,0.5,0.0939724504623957,5.29355173177102,0.13687349818355415,0.296914236955016,0.7165829454738406,43.3,1.7678001977951563,0.2621592524030125,0.8231813757267494,0.8446072062490261,2.7756045821733637,0.08691178187878121,0.16301036449875764,0.9939768043942653,0.8582139529807392,0.8529740506026606
GAT,1,A,0.2,1.0,0.1522769328985052,3.665815888332294,0.09417249952128744,0.18579601635411597,0.4166120222945269,41.7,1.148425766805434,0.1378573434206452,0.7738948393446813,0.7799510637914239,1.8919865777480556,0.055194209112706026,0.0871661051197622,0.6649403960415823,0.8221979259655436,0.7964696205277715
GAT,1,A,0.25,2.0,0.23921355914043313,3.189997808907012,0.07869272970624235,0.15233595299296776,0.3785263521431105,38.0,1.0261431212375272,0.11961702336767528,0.7480700986775706,0.7465918070621246,1.5902339552012716,0.043915530366840615,0.07333333267306648,0.5419811770310292,0.8033286569689295,0.7666782692720455
GAT,1,A,0.3,2.0,0.23921355914043313,3.189997808907012,0.07869272970624235,0.15233595299296776,0.3785263521431105,38.0,1.0261431212375272,0.11961702336767528,0.7480700986775706,0.7465918070621246,1.5902339552012716,0.043915530366840615,0.07333333267306648,0.5419811770310292,0.8033286569689295,0.7666782692720455
GAT,1,A,0.35,2.0,0.23921355914043313,3.189997808907012,0.07869272970624235,0.15233595299296776,0.3785263521431105,38.0,1.0261431212375272,0.11961702336767528,0.7480700986775706,0.7465918070621246,1.5902339552012716,0.043915530366840615,0.07333333267306648,0.5419811770310292,0.8033286569689295,0.7666782692720455
GAT,1,A,0.4,2.0,0.23921355914043313,3.189997808907012,0.07869272970624235,0.15233595299296776,0.3785263521431105,38.0,1.0261431212375272,0.11961702336767528,0.7480700986775706,0.7465918070621246,1.5902339552012716,0.043915530366840615,0.07333333267306648,0.5419811770310292,0.8033286569689295,0.7666782692720455
GAT,1,B,0.1,0.25,0.055007435728250245,7.3154999790494655,0.19391855472757114,0.3696349102551388,0.8497501577930704,46.4,2.264187384456759,0.3459482034555423,0.8429584431128705,0.874125713870289,3.5468035649194283,0.10664288391504868,0.19247869924680366,1.195027964788006,0.8679995911093847,0.8712976670785239
GAT,1,B,0.15,0.5,0.10583757222964012,6.091938774560424,0.14504991815506035,0.30140829196151897,0.5699152141323374,43.9,1.7359492694799847,0.2672698537433035,0.826878552075254,0.8499833129254529,3.2380720801843372,0.09621985712419949,0.17407872193810434,0.9528371366218596,0.8652904267070427,0.8644798199708589
GAT,1,B,0.2,1.0,0.17943263325143738,5.346338812658757,0.1256245926542514,0.2636097916798229,0.5388224426144781,43.4,1.6506594650252904,0.229025072616969,0.8185951407767671,0.8335065905601967,2.6332964422328615,0.07460839508382229,0.13600523837991174,0.8444956644864983,0.8452654292264343,0.8325190240757185
GAT,1,B,0.25,1.0,0.17943263325143738,5.346338812658757,0.1256245926542514,0.2636097916798229,0.5388224426144781,43.4,1.6506594650252904,0.229025072616969,0.8185951407767671,0.8335065905601967,2.6332964422328615,0.07460839508382229,0.13600523837991174,0.8444956644864983,0.8452654292264343,0.8325190240757185
GAT,1,B,0.3,2.0,0.2863219897506978,4.2932434118363,0.10606170147182041,0.21278518108919733,0.5388224426144781,39.8,1.5423678108538288,0.18055796954263162,0.7985146314308341,0.7991311873329824,2.2703822888823217,0.06133237099257512,0.1076243693207893,0.863805694458971,0.8445513794843696,0.82098621472163
