customer_set,metric,target_model,reference_model,purpose,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
A,common_risk_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,-0.03217202340481382,-0.007226122884295538,-0.11587187347659542,0.05552562087690787,0.556640625,-0.21851522654038036,0.984375,False
A,common_risk_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.08643459797141162,0.01915730802682304,0.025279520131347953,0.151916373651989,0.048828125,0.7993489835279531,0.1953125,False
A,common_risk_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.0769907527491979,-0.01746866002514601,-0.14351604758171535,0.007633719394440157,0.10546875,-0.5888719456451021,0.31640625,False
A,common_risk_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.018035085188130663,-0.004092033918700493,-0.08528278278930346,0.0385838706734824,0.4921875,-0.1678850068267867,0.984375,False
A,cvar90_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,-0.0012589817902938449,-0.010582515226821713,-0.004389656278215121,0.0020695441223873698,0.556640625,-0.2270152634913317,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.0020853303313865023,0.017422425680263868,-0.00018457314671621697,0.004373167570305712,0.130859375,0.536182688532804,0.5234375,False
A,cvar90_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.0031340992713797962,-0.02676590049073094,-0.0063866478795266786,0.0009881053000583078,0.130859375,-0.4907789338827516,0.5234375,False
A,cvar90_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.0005139888986416708,-0.00438957879860858,-0.0032224201168181673,0.001911778323418719,0.921875,-0.11571055478509623,1.0,False
A,load_risk_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,-0.020126671974103783,-0.008778230417988258,-0.10006741386340824,0.06050031876930989,0.6953125,-0.14460831814536507,1.0,False
A,load_risk_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.018226122693147006,0.007995351561468793,-0.031923211018276824,0.0782346106362895,0.76953125,0.19331270747214413,1.0,False
A,load_risk_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.017282762060928603,-0.007528523445297503,-0.07037111154417534,0.036464183945899516,0.76953125,-0.1882995274941098,1.0,False
A,load_risk_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,0.03427389472665983,0.014930010556278695,-0.012760033539034134,0.07406872024412815,0.232421875,0.4625609932274644,0.9296875,False
A,average_common_risk_at_b,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,0.03755529366732371,0.010442227467838395,-0.06720614328828305,0.14827791393860001,0.625,0.20551025484663607,1.0,False
A,average_common_risk_at_b,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.057159071564514316,0.015774744653181395,-0.07287934777784785,0.18502080702841942,0.375,0.2598201006590251,1.0,False
A,average_common_risk_at_b,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,0.009657539101934143,0.0027062654840939466,-0.07989660413034055,0.10761279312454997,0.921875,0.06028315293275849,1.0,False
A,average_common_risk_at_b,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,0.0022896954191905295,0.0006416255338590713,-0.0754966522076856,0.0797900314088254,0.845703125,0.01746693902692818,1.0,False
B,common_risk_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,-0.036741412772876014,-0.006494389177491144,-0.20018783577090726,0.1254017298473647,0.6953125,-0.12995699290312665,1.0,False
B,common_risk_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,-0.02256945850706753,-0.004052764055264857,-0.12297642266125373,0.06958547679419073,1.0,-0.13786579572023847,1.0,False
B,common_risk_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.14245161165036588,-0.02565910519343365,-0.2526019209848478,-0.024444399397026917,0.048828125,-0.7294779577067971,0.1953125,False
B,common_risk_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.0397762431204642,-0.007164698205960668,-0.18226470529204883,0.08182356062345165,1.0,-0.17497279207775304,1.0,False
B,cvar90_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,-0.0006567052855549066,-0.004502198905191624,-0.0052289248882334445,0.00401617280910605,0.76953125,-0.08184939419804695,0.984375,False
B,cvar90_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,-0.0029966570500747497,-0.021150863100960003,-0.006258592782449443,0.00027499595543672707,0.130859375,-0.5388536146929384,0.392578125,False
B,cvar90_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.003921829861655962,-0.027502678117210366,-0.007451081996658486,-0.0003235350688158837,0.064453125,-0.6397177197851635,0.2578125,False
B,cvar90_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.0020786799230948505,-0.014577191477002524,-0.006269654763870778,0.0013333776686704436,0.4921875,-0.31787797650633176,0.984375,False
B,load_risk_aubrc,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,0.0077482328905888135,0.0027149818686367476,-0.0832164540647659,0.09709655261758657,0.76953125,0.04981373427260902,1.0,False
B,load_risk_aubrc,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.022318429529924133,0.008013426985740797,-0.04236981068542089,0.08320013775924726,0.556640625,0.2084369746169814,1.0,False
B,load_risk_aubrc,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.07165946127219022,-0.025828139275388604,-0.11257018695486416,-0.031922288476406914,0.01953125,-1.0475615675945311,0.078125,False
B,load_risk_aubrc,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,0.011661690733131547,0.004203210114820115,-0.07559800043331204,0.08915836676147011,0.625,0.08292056986537975,1.0,False
B,average_common_risk_at_b,GraphSAGE-TEG-Concat,GraphSAGE,TEG enhancement over GraphSAGE,0.0048012976977297225,0.0009701758902464404,-0.22505896320537078,0.23674940278352255,1.0,0.012112961871104475,1.0,False
B,average_common_risk_at_b,SGFormer-TEG-Concat,SGFormer-adapted,TEG enhancement over SGFormer,0.07946107222416635,0.016158414193172047,-0.1270725906120316,0.2618757235781361,0.275390625,0.23930802748477734,0.826171875,False
B,average_common_risk_at_b,GraphSAGE-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.15400910428736198,-0.03215165232407246,-0.3037988377424764,0.0221671308035418,0.064453125,-0.5576682122706971,0.2578125,False
B,average_common_risk_at_b,SGFormer-TEG-Concat,Stable-Tail GNN,Fusion vs current main model,-0.048083405704359004,-0.010038113979802785,-0.20945156545225946,0.1045685844514891,0.76953125,-0.17753794712790338,1.0,False
