model,customer_set,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,10,0.1821498498320449,0.014820332717280943,3.4098112167513563,0.2039477028610904,0.08617200769654682,0.009431474376948875,1.0963559372656604,0.07981645751828312,0.7622533266134124,0.011974758187918292,0.7637576483678477,0.014673088742397216,1.7310937858263267,0.12618798085014785,0.049444120484358325,0.004778620104632932,0.6161835209529337,0.05914204067116945,0.811337387838174,0.013069550170626212,0.7793124645928764,0.01886894938324824
GAT,B,10,0.21927464179046458,0.02210719724652338,4.871740900519955,0.4434338075642515,0.11696949623741881,0.010780170740832333,1.548976334444717,0.12915910521549326,0.8078357962096764,0.01309452357132076,0.8179140404933098,0.016580521570736535,2.3914546131608674,0.22206578601942484,0.0666271140139348,0.00777858472746653,0.80942387305013,0.04803566647691112,0.8395021158269433,0.010245462726026345,0.8192193070974032,0.015713958930580578
GCN,A,10,0.18564421614815607,0.016426322635867418,3.1994418889670753,0.11661078963535114,0.08106172555406792,0.007581466004918199,1.0832134755931242,0.11457288570854281,0.7498720976148824,0.007102814275519617,0.7489902246805672,0.009612091047473554,1.632569736855082,0.0641781063647211,0.04574445922014969,0.002561637924771148,0.5815103318326724,0.05128604093470985,0.8036914127385468,0.00671044418971407,0.7672829763339959,0.009503482238436755
GCN,B,10,0.22936543546375035,0.017820439887956424,4.184436184296252,0.17330579771353094,0.10084090484065136,0.006031933311435749,1.4326800225310612,0.09567349181123629,0.7852619481619152,0.006690979724384621,0.7903883920357158,0.008312894471661282,2.090061026544472,0.10215947122718796,0.05618840953267743,0.0034913890234108663,0.7806926845088895,0.04674080036751404,0.8267213337886241,0.006584846118668072,0.8007353109057632,0.009551300661539457
Gradformer-adapted,A,10,0.1946854599559661,0.02381049609597636,3.6698197698871136,0.26565509601609344,0.09492328417255616,0.009514371779638413,1.1424266491421469,0.13715080446877825,0.7722295147345407,0.011156135836168916,0.778403810406957,0.01357016388128913,1.8185002345373433,0.11644448266151797,0.0525898146845209,0.0041883745332006285,0.6405748094793455,0.06369434781230408,0.817596725493065,0.01103512449587437,0.7863236749008906,0.014157400175912164
Gradformer-adapted,B,10,0.22003084189887417,0.035203445514074026,4.495875494543688,0.4200469110227468,0.10799608116067361,0.010242846427285669,1.472145934286677,0.09077416109491158,0.7934737163577583,0.011573138595476817,0.8030723249745559,0.01628830225607488,2.265121650695559,0.21776050027161262,0.06213059398912375,0.007544228805486531,0.7980895590252991,0.04894893511435718,0.83218592633621,0.008804809604763977,0.8115559982886629,0.014360033037163364
GraphSAGE,A,10,0.17670452625557148,0.015847056708579336,3.2319715558084967,0.1438142636570377,0.0806136998940116,0.006310131040930758,1.0968308831194509,0.0828977820963193,0.7515975547642002,0.008686871360155564,0.7512059885308833,0.011333275754182075,1.665625626506521,0.08069758119711928,0.046857231870000994,0.0029838517737391596,0.6078166126257057,0.052831039837229525,0.8059559173127852,0.006448731460871497,0.7709610631988397,0.010287681086814668
GraphSAGE,B,10,0.21213951685218357,0.028229470329292728,4.264815724776378,0.32216737665757667,0.10106910091369121,0.010172134963201896,1.3966874040095951,0.10424305343721028,0.7859353921649062,0.01056459014274891,0.7925812565873088,0.013721938052332832,2.218371157504766,0.24853247450779825,0.05981340731042879,0.008991041242020928,0.7782127193338221,0.07165075761855642,0.8295280372975835,0.012689837050284966,0.8051574237080799,0.019229683196012235
GraphSAGE-TEG-Concat,A,10,0.18928296734065447,0.017029648453347753,3.18991805975669,0.17019261668277746,0.0759378240722688,0.008613370599376714,1.058232214593908,0.07524502825785163,0.7508165262364801,0.01122472512886669,0.748719864907003,0.014036489300253507,1.6246307267473745,0.13427886884962206,0.04519187751085107,0.00480385061558868,0.5719742823292493,0.06257860807152624,0.8010099804689638,0.01164036144822702,0.764831452091951,0.015598513805615721
GraphSAGE-TEG-Concat,B,10,0.22191744709843958,0.025294633927269522,4.120686318684894,0.38247472989408243,0.09667518563421877,0.009112220155099262,1.3778286576287926,0.13299530055788192,0.7815559819173428,0.014381987046046084,0.7852148992310821,0.019181395512796396,2.104746467097319,0.20920198751058283,0.055697447826540444,0.00708853170222441,0.7399395196861139,0.07753380206586542,0.8246630338072874,0.01224781531514356,0.7979245929220786,0.01853361997000204
