model,model_seed,customer_set,average_common_risk_at_b
GAT,0,A,3.750726545048153
GAT,0,B,5.5239367571197375
GAT,1,A,3.8589872267860548
GAT,1,B,5.282835230633758
GAT,2,A,3.8355453505730486
GAT,2,B,5.828887730349892
GAT,3,A,3.770563478447399
GAT,3,B,5.108967286923634
GAT,4,A,3.877154105715113
GAT,4,B,5.631670639298407
GAT,5,A,3.749183468998396
GAT,5,B,5.595701430637228
GAT,6,A,3.465016552825444
GAT,6,B,5.651042179744261
GAT,7,A,3.8061620881819915
GAT,7,B,5.316296477099164
GAT,8,A,3.7401821246252402
GAT,8,B,4.93099605057729
GAT,9,A,3.855840848284493
GAT,9,B,5.37854695269205
GCN,0,A,3.6675726610173625
GCN,0,B,4.932058681812944
GCN,1,A,3.500166470314005
GCN,1,B,4.701165090057363
GCN,2,A,3.767421720536585
GCN,2,B,5.121790532333461
GCN,3,A,3.623648497281675
GCN,3,B,5.047577251768002
GCN,4,A,3.829329102353395
GCN,4,B,5.29330551342552
GCN,5,A,3.6510992731867504
GCN,5,B,4.891834742462682
GCN,6,A,3.6291293161345464
GCN,6,B,5.479597138059504
GCN,7,A,3.655126618653719
GCN,7,B,5.092123437004756
GCN,8,A,3.5954401204092834
GCN,8,B,4.926948925000221
GCN,9,A,3.641168234125672
GCN,9,B,4.976789365862596
Gradformer-adapted,0,A,3.925678451796212
Gradformer-adapted,0,B,5.203641116378155
Gradformer-adapted,1,A,3.7070106765601
Gradformer-adapted,1,B,4.891086754723412
Gradformer-adapted,2,A,4.0742171860224845
Gradformer-adapted,2,B,5.254936114150995
Gradformer-adapted,3,A,3.7672481377312486
Gradformer-adapted,3,B,5.170587288895632
Gradformer-adapted,4,A,3.803724927982683
Gradformer-adapted,4,B,4.800668063063606
Gradformer-adapted,5,A,3.8221548546386557
Gradformer-adapted,5,B,4.768345514821411
Gradformer-adapted,6,A,3.6270765366261193
Gradformer-adapted,6,B,5.400867653677371
Gradformer-adapted,7,A,4.076502623430071
Gradformer-adapted,7,B,5.3790436309484715
Gradformer-adapted,8,A,3.6804175413220537
Gradformer-adapted,8,B,4.774232202990162
Gradformer-adapted,9,A,4.0819905280734465
Gradformer-adapted,9,B,5.696193682116828
GraphSAGE,0,A,3.4701607583014393
GraphSAGE,0,B,4.417840244586566
GraphSAGE,1,A,3.371967806283533
GraphSAGE,1,B,4.553177652909788
GraphSAGE,2,A,3.684115547883865
