model,customer_set,model_seed_runs,max_budget,common_risk_aubrc_mean,common_risk_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_risk_aubrc_mean,load_risk_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,load_cvar95_aubrc_mean,load_cvar95_aubrc_std,max_vehicle_risk_aubrc_mean,max_vehicle_risk_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std
GAT,A,10,0.4,4.60527165899974,0.09446469635463227,0.12447051110728986,0.0034359984011382793,0.23748524243393251,0.00994384972557738,2.392509854311735,0.03524393370188795,0.074186746210374,0.001107014113306574,0.13115419315545113,0.002907392806438347,1.4423696817447174,0.025224409447840462,0.22030331301989836,0.005971755211813094
GAT,B,10,0.4,6.040178782671559,0.17132784718808874,0.15605640308417423,0.00690854636677783,0.29782106927292695,0.00950053764447204,2.9981017789440125,0.09201141426173283,0.08733396707687707,0.0032408407244403914,0.15490732346776814,0.0064442582628200335,1.9441268664577671,0.06909001898485674,0.2772113797859318,0.015914781335957015
GCN,A,10,0.4,4.507325096706248,0.13833395934916254,0.12144674995775873,0.005471927938450501,0.23105826801173318,0.008251114035637169,2.3526203817748668,0.06581768009475289,0.07238322474420952,0.00258843731100662,0.12857253105557048,0.005186697043625134,1.4199019056248807,0.05398667314145822,0.21406222882659187,0.01293540014167956
GCN,B,10,0.4,5.747440182279815,0.21145571791428058,0.14828046985256274,0.006440463825620453,0.28036994888565014,0.014235026803514437,2.827447796118162,0.11337790130775562,0.08138950446262674,0.003999610503228446,0.14414512282326084,0.007583471112676737,1.9097187042908175,0.07256869001436414,0.2608056607855053,0.013240454245926613
Gradformer-adapted,A,10,0.4,4.722248662106587,0.12894108598054094,0.12781621279480468,0.004403874773702593,0.2442433648751814,0.010759060380008434,2.4335776448629414,0.09561597579586731,0.07520762639026364,0.003465257260214856,0.13257924236855337,0.006982915161216129,1.4515662945922014,0.06592208028287053,0.22039089891724775,0.014704344431307581
Gradformer-adapted,B,10,0.4,5.882137993243675,0.2804044890288191,0.1538100764222838,0.009444936758213637,0.28607674423062035,0.017538015836530745,2.913149093335991,0.1340692764500603,0.08427381131028809,0.005069445177906359,0.14927450133432582,0.009594354910407662,1.8944657488106642,0.09779772077522893,0.2656746608231468,0.017661204616841533
GraphSAGE,A,10,0.4,4.45218326894575,0.10949009729892756,0.11896810571954897,0.003898024347580812,0.22628417290036093,0.0073880220144544794,2.2927937654554653,0.08291086035622883,0.07010496985819992,0.0032555944748299983,0.12446098806890427,0.006182090157513933,1.4233761950188815,0.04229930711488669,0.2098928948506728,0.00899072751660735
GraphSAGE,B,10,0.4,5.657408536619782,0.2945978784288987,0.14586323247361135,0.008926367539328281,0.2739374566629716,0.018126513429333444,2.853880160340318,0.17985824316597332,0.0818676891012885,0.006621039718456987,0.1448585382647185,0.011982726618375414,1.8576667428569518,0.09545394466517332,0.2554587140055215,0.014757217420515091
GraphSAGE-TEG-Concat,A,10,0.4,4.484355292350563,0.13158244231930183,0.12022708750984283,0.005710693393356713,0.22310220398317188,0.008490058453576164,2.3129204374295695,0.08412146057441003,0.07092391355317909,0.003199813836335231,0.12466230507507217,0.006117262675358188,1.4207259913847026,0.05747917387012889,0.2109150190327158,0.009595736825303418
GraphSAGE-TEG-Concat,B,10,0.4,5.694149949392658,0.1375323272044948,0.14651993775916622,0.003621387824888877,0.27520307451716514,0.009604857167147051,2.8461319274497296,0.050021269237972295,0.08135487467934559,0.0016456454014725241,0.14427322915919089,0.0038025699916128864,1.8722326936683218,0.07043883688996412,0.2567339044541427,0.007621258635411988
SGFormer-TEG-Concat,A,10,0.4,4.425399624789497,0.09482891605571538,0.1176069771371047,0.003661837081312724,0.22399733747853157,0.006083303232498858,2.2613637806419806,0.04765757099575246,0.06871325493714646,0.0017628750723003013,0.12062939370096411,0.003995947539611428,1.3852471183764463,0.05504571462280751,0.20104129419578434,0.010873579298391316
SGFormer-TEG-Concat,B,10,0.4,5.591474580862757,0.29657908937206656,0.14467678782060514,0.009117931356790293,0.26911523163450346,0.016541555148438636,2.7628107754444073,0.1640421722248185,0.07874241553961464,0.0054724494324101544,0.1393804382967818,0.010688093059101086,1.8564582591536407,0.10384845748412569,0.24831900419256203,0.01832845576803833
SGFormer-adapted,A,10,0.4,4.511834222760909,0.1681284061617126,0.1196923074684912,0.005985603858944239,0.22732075232944,0.01144572225878292,2.279589903335128,0.11858079912111341,0.06947021847527378,0.00436078053833646,0.12175166019928554,0.00793074829715573,1.4320784277535121,0.06776440529173197,0.2131088193810064,0.01379007568547384
SGFormer-adapted,B,10,0.4,5.568905122355689,0.29229823260760096,0.14168013077053038,0.00846340253676686,0.268670156813813,0.017308783162561316,2.7851292049743317,0.1615638334783141,0.07951316949736405,0.005573284011498594,0.14143606439914116,0.010576507813465601,1.8654100219219873,0.10361795024420578,0.24969189436129663,0.014332243505310358
Stable-Tail GNN,A,10,0.4,4.407364539601366,0.08612174124756665,0.11709298823846304,0.0035980204822129527,0.22241955368733524,0.006786723000087336,2.295637675368641,0.05130894573133348,0.07017725959177476,0.0019389096381403701,0.12360939411853145,0.003555211426468678,1.4063489601287564,0.031184610962430546,0.21032067543957203,0.005696362383657295
Stable-Tail GNN,B,10,0.4,5.551698337742293,0.18395338117951238,0.1425981078975103,0.005171360638013832,0.26748606522578916,0.010790718585854057,2.7744724661775395,0.0755581153562849,0.07910780547279476,0.0027361919577265858,0.1395043656443096,0.00560729331200204,1.844856344355075,0.09857875475389175,0.24847591955093612,0.014297891418293525
Stable-Tail w/o Tail Loss,A,10,0.4,4.538871854162282,0.08921545062343558,0.12277508045061927,0.0024686384168497726,0.2309616248545921,0.007636123522261079,2.35650435519318,0.0931529331293626,0.07239941009674983,0.0033934098889296053,0.12797937435898207,0.006786211593305263,1.424761326490686,0.03415847061988913,0.21100335811823254,0.009598890457321959
Stable-Tail w/o Tail Loss,B,10,0.4,5.640739067594817,0.17526811216306884,0.14516424845556428,0.005933692627513809,0.27522531521039717,0.010915388245112356,2.8498039280140097,0.11535858734510457,0.08181832701054081,0.004080707299811782,0.1460626498635411,0.007491337894075379,1.8747102566405225,0.06349058526944423,0.2564975746570409,0.01072585261789263
TEG-only,A,10,0.4,4.538018104774202,0.11674228885676347,0.12330025189561,0.004573887978947768,0.23112375624220646,0.010380443124734115,2.3380592031633034,0.07730317873813466,0.0718368915445097,0.002924900561730253,0.12620762412247394,0.005160112697257846,1.4501333709630675,0.0561171111863093,0.21931546864443302,0.00895381018635783
TEG-only,B,10,0.4,5.649951214146919,0.15277406112449338,0.1449074100623548,0.0048296995180328395,0.2715013060520125,0.009591317904690777,2.822765176024438,0.10034374068325864,0.08087025481758256,0.003439137668750703,0.14313447216340477,0.006622580091491838,1.857960419285909,0.059631063656203215,0.2551310783888326,0.011470207294328258
