P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,764,329,100,38,6,55,29
2,0,693,301,118,46,13,62,88
3,0,616,356,118,94,40,43,53
4,0,631,359,95,104,22,48,62
5,0,705,311,105,59,19,66,55
