model,model_type,method,model_seed_runs,hop_increase_mean,hop_increase_std,hop_increase_mean_std,total_risk_reduction_mean,total_risk_reduction_std,total_risk_reduction_mean_std,cvar90_reduction_mean,cvar90_reduction_std,cvar90_reduction_mean_std,maxrisk_reduction_mean,maxrisk_reduction_std,maxrisk_reduction_mean_std,re_reduction_mean,re_reduction_std,re_reduction_mean_std,source_file
GraphSAGE-TEG-Gate,formal_trained_model,CVaR-risk,10,0.09752317589816321,0.0042886814348011395,9.752% +/- 0.429%,0.850206596454769,0.006822756587130638,85.021% +/- 0.682%,0.8994667517903693,0.003848586077995733,89.947% +/- 0.385%,0.9059123331698163,0.002178205977416304,90.591% +/- 0.218%,0.9174224036436591,0.004865594019322086,91.742% +/- 0.487%,outputs_10seed\od_paths\paper_teg_gate_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
GraphSAGE-TEG-Gate,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_teg_gate_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-adapted,formal_trained_model,CVaR-risk,10,0.0975076765826641,0.0060278096859288045,9.751% +/- 0.603%,0.8400139138321255,0.012789866194535798,84.001% +/- 1.279%,0.9033926296823412,0.012038314850306778,90.339% +/- 1.204%,0.9123935323438933,0.011948993864715875,91.239% +/- 1.195%,0.9221313754034516,0.01236080677970646,92.213% +/- 1.236%,outputs_10seed\od_paths\paper_strong_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-adapted,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_strong_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-TEG-Concat,formal_trained_model,CVaR-risk,10,0.10142726440225122,0.006456988379979438,10.143% +/- 0.646%,0.8443363842410135,0.01081692867036374,84.434% +/- 1.082%,0.9017667680010834,0.007610762968734362,90.177% +/- 0.761%,0.9109121850329799,0.008168816477419804,91.091% +/- 0.817%,0.9232123097545502,0.008050795919888831,92.321% +/- 0.805%,outputs_10seed\od_paths\paper_teg_concat_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-TEG-Concat,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_teg_concat_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-TEG-Gate,formal_trained_model,CVaR-risk,10,0.10407463554962193,0.005363400721408279,10.407% +/- 0.536%,0.8369375709091235,0.007374501371206345,83.694% +/- 0.737%,0.9005016523597565,0.006627677945995566,90.050% +/- 0.663%,0.9088690270778379,0.006818588703735509,90.887% +/- 0.682%,0.9223300005743751,0.006716503894410674,92.233% +/- 0.672%,outputs_10seed\od_paths\paper_teg_gate_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
SGFormer-TEG-Gate,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_teg_gate_fusion_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail GNN,formal_trained_model,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8477440469009674,0.0067351596840697185,84.774% +/- 0.674%,0.9008277886921462,0.006448667165900204,90.083% +/- 0.645%,0.9078549311978412,0.006021926252547197,90.785% +/- 0.602%,0.9195266011235868,0.005949098792812812,91.953% +/- 0.595%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail GNN,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail w/o Tail Loss,formal_trained_model,CVaR-risk,10,0.09564915362414124,0.004038288974947834,9.565% +/- 0.404%,0.8548111747579773,0.010315539111743974,85.481% +/- 1.032%,0.9007360905023578,0.005005187940721422,90.074% +/- 0.501%,0.9094512655991056,0.004757436757817397,90.945% +/- 0.476%,0.9198456630700056,0.0067750415702351255,91.985% +/- 0.678%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail w/o Tail Loss,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a005,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8489029050013077,0.006677184338016639,84.890% +/- 0.668%,0.9013391528232411,0.006461742116966276,90.134% +/- 0.646%,0.9083306419550973,0.005966703094451748,90.833% +/- 0.597%,0.9199403202835772,0.00590263210698759,91.994% +/- 0.590%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a005,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a010,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8498743856211464,0.006580865676425169,84.987% +/- 0.658%,0.9018125970630104,0.006419229735381342,90.181% +/- 0.642%,0.9087501801955926,0.005893258820810722,90.875% +/- 0.589%,0.920313911343417,0.0058078307617803965,92.031% +/- 0.581%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a010,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a020,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8515341031853095,0.006341366393968702,85.153% +/- 0.634%,0.9026458025076748,0.006277519420167059,90.265% +/- 0.628%,0.9094666495525416,0.005785503487196443,90.947% +/- 0.579%,0.9209756515160386,0.005561279539033643,92.098% +/- 0.556%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a020,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a030,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8528898599951352,0.006220518813260279,85.289% +/- 0.622%,0.9032370083996457,0.006243061248633148,90.324% +/- 0.624%,0.9099521874249721,0.005760626345672768,90.995% +/- 0.576%,0.9214726520975395,0.005417700438438063,92.147% +/- 0.542%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-EdgeTail-a030,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-Gate,formal_trained_model,CVaR-risk,10,0.10201435971434637,0.006363180497342988,10.201% +/- 0.636%,0.8395368565149054,0.0061733521289167636,83.954% +/- 0.617%,0.8991234930938028,0.004120909685307725,89.912% +/- 0.412%,0.9042752576917158,0.004216090203179019,90.428% +/- 0.422%,0.920078559128652,0.0038433127726844154,92.008% +/- 0.384%,outputs_10seed\od_paths\paper_stable_tail_gate_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-Gate,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_stable_tail_gate_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r005,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8479416266359586,0.0067315561500646765,84.794% +/- 0.673%,0.9008956835689426,0.00647044775042323,90.090% +/- 0.647%,0.9079233000093319,0.006030205505666847,90.792% +/- 0.603%,0.9195869316153963,0.005951939312705303,91.959% +/- 0.595%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r005,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r010,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8481602093049155,0.006727871579189056,84.816% +/- 0.673%,0.9009708048019905,0.006494691631433227,90.097% +/- 0.649%,0.9079989423241372,0.006039564778249311,90.800% +/- 0.604%,0.9196536482015274,0.005955219910437014,91.965% +/- 0.596%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r010,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r020,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8486753733581573,0.006720426775071953,84.868% +/- 0.672%,0.9011491184407753,0.006552200356252955,90.115% +/- 0.655%,0.908178219966054,0.006062314142097449,90.818% +/- 0.606%,0.9198107716411209,0.005963523648080453,91.981% +/- 0.596%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r020,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r030,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8493296381281493,0.006713439600500957,84.933% +/- 0.671%,0.9013754353049085,0.00662646637846851,90.138% +/- 0.663%,0.9084061031849336,0.006092877373580447,90.841% +/- 0.609%,0.9200100891466378,0.005975217549875909,92.001% +/- 0.598%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r030,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r040,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8501881429036383,0.006708359974462332,85.019% +/- 0.671%,0.9016735136254869,0.006725934584865093,90.167% +/- 0.673%,0.908710513255406,0.006137612175873174,90.871% +/- 0.614%,0.9202712313320767,0.005992488188370893,92.027% +/- 0.599%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-MatrixEns-r040,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a005,stable_tail_postprocess,CVaR-risk,10,0.10255690698189363,0.006598482910219858,10.256% +/- 0.660%,0.8479189543828769,0.006716518873343066,84.792% +/- 0.672%,0.9009554945642686,0.006521584336844242,90.096% +/- 0.652%,0.9079319162917701,0.0060493007689495235,90.793% +/- 0.605%,0.9195338238352081,0.005996310247648115,91.953% +/- 0.600%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a005,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a010,stable_tail_postprocess,CVaR-risk,10,0.10274738317236978,0.006512168382738705,10.275% +/- 0.651%,0.8481623077149624,0.006759920584534787,84.816% +/- 0.676%,0.9010393084497955,0.006568970196735155,90.104% +/- 0.657%,0.9080102080905565,0.0060615860032756964,90.801% +/- 0.606%,0.9195675444202681,0.006036122362460839,91.957% +/- 0.604%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a010,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a020,stable_tail_postprocess,CVaR-risk,10,0.1024862720612587,0.006895969336680008,10.249% +/- 0.690%,0.8484270755760032,0.006757046684576166,84.843% +/- 0.676%,0.9012618554934483,0.0065252487927966295,90.126% +/- 0.653%,0.9081561673473079,0.006056996814497741,90.816% +/- 0.606%,0.9195100267904354,0.006059977472132305,91.951% +/- 0.606%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a020,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a030,stable_tail_postprocess,CVaR-risk,10,0.1024862720612587,0.006895969336680008,10.249% +/- 0.690%,0.848704538047499,0.0066980062278304935,84.870% +/- 0.670%,0.9013746231425943,0.006514969365180918,90.137% +/- 0.651%,0.9082552710683083,0.006018272632662189,90.826% +/- 0.602%,0.9194483611453008,0.006053774028810757,91.945% +/- 0.605%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-NodeCalib-a030,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a005,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8498426846229302,0.006657530317926206,84.984% +/- 0.666%,0.9017281191675492,0.0064912255670974365,90.173% +/- 0.649%,0.9086528615375932,0.005978057669312616,90.865% +/- 0.598%,0.9202738090085509,0.005874816220469162,92.027% +/- 0.587%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a005,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a010,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8516685255441212,0.006507737374092423,85.167% +/- 0.651%,0.9025593812011699,0.006460975443792285,90.256% +/- 0.646%,0.9093686340992597,0.005924343508929637,90.937% +/- 0.592%,0.920952754752343,0.005734472406122241,92.095% +/- 0.573%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a010,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a020,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8547498211804989,0.006305577060035624,85.475% +/- 0.631%,0.9038874993331363,0.006446245319788906,90.389% +/- 0.645%,0.9104712088075875,0.005925424372251629,91.047% +/- 0.593%,0.9220720022067654,0.0054957147185906085,92.207% +/- 0.550%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a020,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a030,stable_tail_postprocess,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8574343471302507,0.006397758762448731,85.743% +/- 0.640%,0.9050696736991213,0.006713087593773886,90.507% +/- 0.671%,0.9114511204796978,0.0061973320187051996,91.145% +/- 0.620%,0.9230719813570757,0.00550704505635932,92.307% +/- 0.551%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
Stable-Tail-TailOnly-a030,stable_tail_postprocess,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\stable_tail_calibration_od_10seed\od_seed_robustness_by_model_10seed.csv
TEG-only,formal_trained_model,CVaR-risk,10,0.11027397324895888,0.003988375888792269,11.027% +/- 0.399%,0.8061480316350422,0.007842049110236105,80.615% +/- 0.784%,0.8941501195359436,0.004385149016273851,89.415% +/- 0.439%,0.9036472783819067,0.0037288896003564477,90.365% +/- 0.373%,0.9223469732691578,0.004148496642159806,92.235% +/- 0.415%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
TEG-only,formal_trained_model,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,outputs_10seed\od_paths\paper_model_od_comparison_10seed\od_seed_robustness_by_model_10seed.csv
