source_file,experiment_tag,model,paper_model_name,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std,brier_mean,brier_std,ece_mean,ece_std
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GAT,GAT,B,data_2020_train,10,0.5619430054166874,0.0789925249778102,0.7587654216659052,0.03620915643128625,0.9079120953290489,0.13364006940134918,0.6779981366975235,0.07345881191509676,0.7274999999999999,0.0967887160548974,0.7685209505941214,0.07533086448006542,0.8712862815822675,0.06808666625621,0.2725,0.0967887160548974,0.3253434747457504,0.04293726626911,0.13541638771147604,0.02174161631308282
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GAT,GAT,B,data_2021_test,10,0.2545779781005384,0.042541406890584395,0.6011269182356388,0.02207029903401289,1.374410611290068,0.08285290798570671,0.20316589157305048,0.06162584150757207,0.17692307692307693,0.05499387330648004,0.3888888888888889,0.12320730965435198,0.3058600229278074,0.062495025364532615,0.8230769230769232,0.05499387330648003,0.5156511783599853,0.030899236652697337,0.11719939232812271,0.02756657932202177
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GAT,GAT,B,data_2021_train,10,0.7544925952000113,0.08787785304320188,0.8489618567305209,0.04366641913952676,0.6367302083139537,0.1636030901539562,0.8311993613428623,0.08561882820066997,0.89,0.08096638534327412,0.9189290740219533,0.07967312977082361,0.9730285820314677,0.03398009086246539,0.11000000000000001,0.08096638534327412,0.22059854567050935,0.05457484228653584,0.14750411180271344,0.021377057516978666
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GAT,GAT,B,data_2021_val,10,0.282059857187448,0.06758879901811171,0.6256492562616922,0.04395478631702332,1.353255501676918,0.15351655790068916,0.32503509679608883,0.23801320367438142,0.33999999999999997,0.21186998109427604,0.4894047619047619,0.35370677312642057,0.45700394631042895,0.15536846507300373,0.6599999999999999,0.21186998109427607,0.5039566189050675,0.03525557744008597,0.16477664205763073,0.056828271100373015
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GCN,GCN,B,data_2020_train,10,0.5431212288824193,0.08388055688882541,0.7475559173174308,0.034306743041977415,0.9841432109722176,0.1719705965752058,0.6418840234381797,0.09206085679599954,0.6625,0.11133657679906156,0.8018896652474957,0.11303827183602823,0.8273206976191275,0.10303352968475163,0.3375,0.11133657679906156,0.35356420278549194,0.061221342205181974,0.15098014340195848,0.04112268760608604
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GCN,GCN,B,data_2021_test,10,0.2881168046730741,0.0299156819842545,0.6212380258096176,0.023859038776242476,1.3738777471671684,0.09244998612320665,0.25618737915847534,0.0537870463516573,0.21538461538461537,0.0658729875828981,0.4692511655011655,0.09433560646737614,0.3495390510499675,0.05134838036614698,0.7846153846153847,0.0658729875828981,0.5047212243080139,0.03750756826381533,0.11633719773711385,0.03962581343994869
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GCN,GCN,B,data_2021_train,10,0.7069899731116457,0.09799274871318232,0.8255817515384687,0.05215279304820127,0.7574578474116314,0.2173010967719489,0.7566664145013592,0.14870976006066286,0.8,0.14907119849998596,0.8829962160302717,0.10703130126810596,0.9387620556314701,0.09459147995714977,0.2,0.14907119849998599,0.25279888361692426,0.07747381363407974,0.1665138948031447,0.03799975160409714
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GCN,GCN,B,data_2021_val,10,0.2803601020290085,0.05816214582506559,0.6277084110524955,0.04898028845645973,1.3450175706027379,0.17398136886547996,0.3580270563765452,0.21741865449118536,0.33999999999999997,0.21186998109427604,0.47023809523809523,0.3219547916728036,0.5018334888328494,0.1844536804461773,0.6599999999999999,0.21186998109427607,0.5064595848321914,0.05439785325695121,0.17297277132670086,0.04157741932349685
outputs_10seed\models\paper_strong_baselines_splitB_10seed_summary.csv,paper_strong_baselines_10seed,Gradformer-adapted,Gradformer-adapted,B,data_2020_train,10,0.4758434355400327,0.11291944868193318,0.7036336287038368,0.067568498926129,1.1343523217882578,0.16912392933436882,0.5665386153574963,0.11568321241464319,0.575,0.1448178933081897,0.7331070281070281,0.0939213592879431,0.7405622704670703,0.1294501655195735,0.425,0.14481789330818973,0.4127076268196106,0.08234408328120983,0.15571454452230707,0.03132304039610344
outputs_10seed\models\paper_strong_baselines_splitB_10seed_summary.csv,paper_strong_baselines_10seed,Gradformer-adapted,Gradformer-adapted,B,data_2021_test,10,0.26123834183447947,0.04775888543394347,0.5626306405455277,0.04867565110380257,1.4124936877673218,0.12105573499074897,0.2555794631098044,0.08030930285350249,0.23461538461538461,0.08199116387343323,0.4180689245395127,0.06879460557119217,0.32419521877282115,0.050743595243068186,0.7653846153846153,0.08199116387343323,0.5779349267482757,0.03976243559703248,0.1378151945434175,0.03589459611932822
outputs_10seed\models\paper_strong_baselines_splitB_10seed_summary.csv,paper_strong_baselines_10seed,Gradformer-adapted,Gradformer-adapted,B,data_2021_train,10,0.6359896383706918,0.1266929478572938,0.7716822296133535,0.08234448235488431,0.9022522127558326,0.23144267397160626,0.622678609069118,0.1508619149349426,0.625,0.15138251770487457,0.8306038406038405,0.10349977205927037,0.8600395319275862,0.10549900889059417,0.375,0.1513825177048746,0.32839482873678205,0.10384764802992755,0.15712222693149341,0.03021952959333245
outputs_10seed\models\paper_strong_baselines_splitB_10seed_summary.csv,paper_strong_baselines_10seed,Gradformer-adapted,Gradformer-adapted,B,data_2021_val,10,0.2743334774221294,0.0637899090075037,0.5965701567290196,0.06541333243870463,1.3515146700310685,0.1133454293261858,0.4067849978303723,0.2070449106653006,0.44000000000000006,0.22705848487901867,0.44000000000000006,0.17126976771553504,0.5345086954049444,0.17128896582671538,0.5599999999999999,0.22705848487901867,0.5483327746391297,0.060038528418872084,0.18054283390442533,0.0515350167862766
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GraphSAGE,GraphSAGE,B,data_2020_train,10,0.5779327610103013,0.13160454974343352,0.757761287045806,0.057324907498375974,0.7908251335292125,0.2640361846323301,0.7187244857515429,0.13764026738701246,0.8099999999999999,0.17802933590968775,0.7997593982960455,0.1413738216662148,0.8749544941388214,0.15988721045943796,0.19,0.17802933590968775,0.32288168668746947,0.08639364704403737,0.11492230125785156,0.04074600101074182
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GraphSAGE,GraphSAGE,B,data_2021_test,10,0.2959810631896636,0.06059686734827343,0.6163034382593353,0.03130546061702027,1.2773099922684612,0.1345636644581883,0.2992195268958378,0.09288891971223977,0.28076923076923077,0.11474179915520229,0.48638956574826137,0.12937843018534548,0.3762794589788979,0.07051608932500379,0.7192307692307692,0.11474179915520227,0.5069829046726226,0.04674430510000435,0.10574693574427485,0.045654345591600344
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GraphSAGE,GraphSAGE,B,data_2021_train,10,0.7509716712151064,0.14825187187848302,0.8485103094055206,0.08659789022783863,0.5796479240058058,0.3079510571761947,0.8336904069364955,0.16257709271515353,0.905,0.1499073788117924,0.9007305194805195,0.13155512951920734,0.942499066600732,0.10653745209944936,0.095,0.1499073788117924,0.22524044811725616,0.10907702929773636,0.1351422679525885,0.024839731985260266
outputs_10seed\models\paper_main_comparison_splitB_10seed_summary.csv,paper_comparison_10seed,GraphSAGE,GraphSAGE,B,data_2021_val,10,0.31418220121028384,0.07535609797583384,0.6445834149848783,0.05119366261807541,1.2475163253121322,0.22099760494482207,0.4425110193672451,0.18704479381460198,0.45999999999999996,0.1646545204697129,0.5257142857142857,0.2777183609923009,0.5533335404874615,0.18652114899366828,0.54,0.1646545204697129,0.49546014964580537,0.061721383972404016,0.17125425934791566,0.0445486740852092
outputs_10seed\models\paper_teg_concat_fusions_splitB_10seed_summary.csv,paper_teg_concat_fusions_10seed,GraphSAGE-TEG-Concat,GraphSAGE-TEG-Concat,B,data_2020_train,10,0.3116807993882446,0.02770751854208857,0.6588840130298855,0.01799973240802853,0.8484958017370625,0.08723896475144169,0.6601008226971907,0.05536759095230772,0.8300000000000001,0.06324555320336758,0.5970809772138045,0.07080684405848402,0.6967043442669377,0.10637861976534992,0.16999999999999998,0.0632455532033676,0.4062858074903488,0.029334909993300542,0.08247376172881138,0.011930021451009765
outputs_10seed\models\paper_teg_concat_fusions_splitB_10seed_summary.csv,paper_teg_concat_fusions_10seed,GraphSAGE-TEG-Concat,GraphSAGE-TEG-Concat,B,data_2021_test,10,0.23353489381988526,0.03579632659498935,0.585648967201441,0.02953555945958057,1.2632729745771651,0.09496831182369891,0.3205077567184161,0.08884310156177667,0.3538461538461538,0.10540925533894596,0.36901234655148485,0.07976391418422214,0.35033410333308707,0.06012476375956014,0.6461538461538462,0.10540925533894599,0.527655565738678,0.03973316491087339,0.09470986688324998,0.018746224616178135
