model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std
GraphSAGE-TEG-Gate,A,3.283696599561202,0.13158824035607825,0.9611858786245203,0.04292753445731888,0.023226497361669887,0.0016270246082451447,0.03862375436963883,0.003088924301592205,0.013860279176193362,0.0010203772727149392,0.04156193353781429,0.004502998203805353
GraphSAGE-TEG-Gate,B,4.778952657805394,0.26720940054460235,1.4094528957798518,0.08824070930360665,0.034531004171183335,0.0027582059500700913,0.06572164795593005,0.006883269023761576,0.019815100935203545,0.0017785621908650586,0.06213003731499066,0.006993197681559514
SGFormer-TEG-Concat,A,3.401353489864106,0.07170451145219454,0.9947077098128398,0.022667576384020408,0.02346528066337557,0.0007400759612454099,0.038915027996095364,0.0019513023336234587,0.014298585943304113,0.0003686371901989865,0.04162830702070435,0.0027864693244923177
SGFormer-TEG-Concat,B,4.772946651298598,0.32877039663567076,1.4054586914115546,0.1087677593236011,0.03429396975040891,0.003463863339991225,0.06706339305548076,0.0063325387761805916,0.01959031108186101,0.002066091958916815,0.05955948576504129,0.007747205919435588
SGFormer-TEG-Gate,A,3.4061332769688404,0.2029055476750498,0.9901414565915175,0.060547211569080384,0.02384779034825903,0.0022110145056574455,0.039357440392772246,0.004840421017206618,0.014540898608439178,0.0014004049463325354,0.04365110511709533,0.004352421601927907
SGFormer-TEG-Gate,B,4.700471344113338,0.3900819426645973,1.380893321983918,0.12662996247575906,0.03381580115684851,0.00392607230324341,0.066337328057363,0.008018628061829543,0.019497820959116247,0.001837756394941697,0.06023063061734681,0.009326913595193454
SGFormer-adapted,A,3.4518943898175736,0.2549960680335507,1.0111067797165452,0.08179720990324676,0.02438699629436534,0.0028451102971962794,0.04111282899312081,0.005936208626851166,0.014688201688973357,0.0016594729237779703,0.044234033384526465,0.006397053430514535
SGFormer-adapted,B,4.850352177323586,0.3629084829699064,1.432487152947529,0.11575459571555806,0.03528034370321354,0.0034919974816664426,0.06912723936843823,0.006557528509814166,0.020351372356971265,0.002026976706276693,0.06235063374113936,0.006248906082823754
Stable-Tail GNN,A,3.3938803973712854,0.10474261578691937,0.9890710919440241,0.03125329269681186,0.023840759530765226,0.0008806975831555414,0.03919424794952957,0.0016007459859731243,0.014767659480456559,0.0007491592036941769,0.043774547684265884,0.001479515164901182
Stable-Tail GNN,B,4.720352449149992,0.21952454900017013,1.3893212017503993,0.07351542460255571,0.03382745060927791,0.0020868922988768832,0.06574420188631153,0.005198321080694878,0.019733393110156556,0.0012014537873924571,0.0598221311600613,0.006172503163436602
Stable-Tail w/o Tail Loss,A,3.5067505793007556,0.12570163965488307,1.0189941389875148,0.03468461685333647,0.024843131322847628,0.0011571795523876902,0.041731097432486784,0.0024162050795062413,0.015459687038648471,0.0009316183891316628,0.04394653038543849,0.0028785931648791616
Stable-Tail w/o Tail Loss,B,4.892533482936852,0.2421693163304851,1.4509860249854376,0.08079359395474282,0.035967885363348995,0.002305166768929494,0.06996698235762598,0.005577642558970405,0.021210371959019998,0.0018838168695129852,0.06446573511268049,0.00528003154195429
Stable-Tail-Gate,A,3.4641054791460864,0.0757477040978025,1.0009513846331661,0.02381008225325074,0.024535240839245975,0.001069291141801371,0.040218729658480154,0.002346132872594633,0.014848919082612313,0.0006080497788969849,0.04353518535439568,0.0033726409146132025
Stable-Tail-Gate,B,4.802904372749246,0.21424003839682781,1.420255602373567,0.0722043738390008,0.034996920450094046,0.002347133573053804,0.06786619831531608,0.004656731324200726,0.019981369816130756,0.001127810848697811,0.06332263303486006,0.0051671952569250215
TEG-only,A,3.50557599338555,0.13317694346639636,1.0234726250654378,0.04326187294669865,0.025098973631326117,0.0016880361765892451,0.04204188930521452,0.0035187953917610463,0.01539797523386132,0.0010685114523252322,0.045676805455158974,0.003618366729612648
TEG-only,B,4.879833150005416,0.20362811751436996,1.4473156200124624,0.07140978087690406,0.03548005171588933,0.002444096263737551,0.06842177906941627,0.004871141566850013,0.02092329316605895,0.0015614135873325823,0.06356314897222358,0.0045072156070402655
