model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std
GAT,A,3.5854530437804746,0.11381064575852443,1.0465978660829327,0.03341036438290229,0.026093394859975007,0.0009262346604123751,0.043427259133975604,0.002809633506516807,0.016008662038884115,0.0006722498426067207,0.04663014576248379,0.002828487897719454
GAT,B,5.320504903830127,0.2594627561244147,1.5857793537746097,0.08049922923066745,0.039969047223077994,0.0024695720914559866,0.07808116945756748,0.004919904317694752,0.022904942206298982,0.0014031700933707118,0.07257853509782608,0.007232822469082456
GCN,A,3.472480812300124,0.08569384877472083,1.009498128125336,0.03162565611684981,0.024840708071350862,0.000971980332449997,0.041274353803631245,0.0019143713749114808,0.01521636056891481,0.0005377364292758008,0.04545844471487671,0.003839071573326014
GCN,B,4.962290480494849,0.2142253251475955,1.4772002735274699,0.07265685664480875,0.03670562065402953,0.0026533022997235643,0.07161641306554122,0.0055178895005636025,0.020799992175831082,0.0012035419210937703,0.06513662911412592,0.003669384782626235
Gradformer-adapted,A,3.681908527988985,0.1639150875058702,1.0818144067718247,0.056374886572775035,0.02663451496378296,0.0020174735954114464,0.04621533910137192,0.005675561046186205,0.0162399548630377,0.001205215585434718,0.04894534764963557,0.00598645819689015
Gradformer-adapted,B,5.06430925240697,0.3054978679412376,1.49794187686955,0.09676552081453017,0.03758786448624413,0.0030162232291313213,0.07260472900880353,0.007145866456450796,0.021532970033519,0.002054898754132671,0.0658002935763247,0.006192078036089817
GraphSAGE,A,3.4169975076067716,0.14039284603107102,0.9944118890097291,0.03714409365618076,0.02407224822050989,0.0012484535108458243,0.03996559827780072,0.002596773252658856,0.014857013628824743,0.0009189617427840996,0.043396911049150985,0.003098526413493977
GraphSAGE,B,4.874581040626172,0.3693390644052738,1.4395263638393714,0.12308886612056924,0.03555076165606057,0.0037160760541522114,0.06895704358817402,0.008364525253849071,0.020952192927021804,0.002529954332336785,0.06265846668336601,0.00709357753785954
GraphSAGE-TEG-Concat,A,3.378578969316717,0.1312691486703037,0.9855051604114896,0.040333065593217594,0.0240227041833821,0.0013968008798144645,0.03996191040715746,0.0028762213977960942,0.014573665428242061,0.0009369552898794751,0.04290663573230117,0.0037771537036789
GraphSAGE-TEG-Concat,B,4.858845341737963,0.262451983710751,1.435485294487826,0.08580871817186536,0.03506855907681347,0.002750321928007731,0.06827071157387164,0.006365857421416197,0.020563071893370834,0.0011595785323421654,0.062297975753351005,0.00507858395925135
