model,avg_risk_at_b_ab_mean,common_aubrc_ab_mean,cvar90_aubrc_ab_mean,cvar95_aubrc_ab_mean,load_cvar90_aubrc_ab_mean,max_vehicle_cvar90_aubrc_ab_mean,rank_by_core_risk
GraphSAGE-TEG-Gate,4.031324628683298,1.185319387202186,0.02887875076642661,0.05217270116278444,0.016837690055698455,0.05184598542640247,1.6666666666666667
SGFormer-TEG-Gate,4.053302310541089,1.1855173892877178,0.02883179575255377,0.05284738422506763,0.017019359783777714,0.051940867867221074,2.0
Stable-Tail GNN,4.057116423260639,1.1891961468472116,0.028834105070021567,0.05246922491792055,0.01725052629530656,0.051798339422163595,2.3333333333333335
SGFormer-TEG-Concat,4.087150070581352,1.2000832006121973,0.02887962520689224,0.05298921052578806,0.01694444851258256,0.05059389639287282,4.0
GraphSAGE-TEG-Concat,4.11871215552734,1.2104952274496579,0.029545631630097786,0.054116310990514546,0.01756836866080645,0.05260230574282609,5.333333333333333
Stable-Tail-Gate,4.133504925947666,1.2106034935033665,0.029766080644670012,0.05404246398689812,0.017415144449371533,0.053428909194627866,5.666666666666667
GraphSAGE,4.1457892741164715,1.2169691264245501,0.02981150493828523,0.05446132093298737,0.017904603277923273,0.0530276888662585,7.0
SGFormer-adapted,4.15112328357058,1.221796966332037,0.02983366999878944,0.05512003418077952,0.01751978702297231,0.053292333562832916,8.0
TEG-only,4.192704571695483,1.23539412253895,0.030289512673607723,0.05523183418731539,0.018160634199960134,0.05461997721369127,9.0
Stable-Tail w/o Tail Loss,4.199642031118803,1.234990081986476,0.03040550834309831,0.05584903989505638,0.018335029498834234,0.054206132749059485,10.0
GCN,4.217385646397487,1.2433492008264029,0.030773164362690196,0.05644538343458623,0.018008176372372946,0.055297536914501316,11.0
Gradformer-adapted,4.373108890197978,1.2898781418206875,0.03211118972501355,0.059410034055087727,0.01888646244827835,0.05737282061298014,12.0
GAT,4.452978973805301,1.3161886099287712,0.033031221041526504,0.06075421429577154,0.01945680212259155,0.05960434043015493,13.0
