P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,2,519,706,187,42,18,22,34
2,1,645,440,207,78,60,73,25
3,2,512,589,208,60,67,62,30
4,2,533,541,245,69,65,55,19
5,3,439,671,194,59,75,52,36
